contrast,sd_pilot,sigma_UB,J_precision,J_power,J,alpha_adj,true_contrast
AR(1) vs AR(2),0.007952821200446797,0.00874394245607034,1,3,3,0.016666666666666666,-0.0025000000000001688
AR(1) vs naive,0.044828415041667985,0.04928780261011794,25,14,25,0.016666666666666666,-0.17147058823529426
AR(1) vs mean,0.3099348250056233,0.3407661516178872,1162,490,1162,0.016666666666666666,-0.9835620915032679
