contrast,estimate,mcse,ci_lo,ci_hi,half_width,p_paired_t,p_bootstrap,true,covers_truth,mcse_target_met,p_romano_wolf,p_bonferroni,p_holm,abs_err_vs_reference
AR(1) vs AR(2),-0.0026887526902536077,0.0002570219038133522,-0.003304951008687054,-0.0020725543718201614,0.0006161983184334464,1.5431110652848056e-24,0.0,-0.0025000000000001688,True,True,0.0,4.6293331958544165e-24,1.5431110652848056e-24,0.00018875269025343897
AR(1) vs naive,-0.17071278212669946,0.0011908772648001936,-0.17356785617736634,-0.1678577080760326,0.0028550740506668726,0.0,0.0,-0.17147058823529426,True,True,0.0,0.0,0.0,0.0007578061085947996
AR(1) vs mean,-0.980865786786058,0.008691297520839717,-1.001702777088781,-0.960028796483335,0.020836990302723013,0.0,0.0,-0.9835620915032679,True,True,0.0,0.0,0.0,0.002696304717209941
