family,rho,J,test,type_I,mcse,R,skew_D,abs_skew,skew_mcse
normal,0.0,10,paired_t,0.049825,0.0010879162349992,40000,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,15,paired_t,0.048025,0.0010690954047113,40000,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,20,paired_t,0.050325,0.0010930735836964,40000,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,25,paired_t,0.05015,0.0010912719356329,40000,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,30,paired_t,0.049325,0.0010827285483328,40000,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,40,paired_t,0.0498,0.0010876575747908,40000,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,50,paired_t,0.050675,0.0010966659059964,40000,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,75,paired_t,0.048425,0.0010733128548447,40000,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,100,paired_t,0.0504,0.0010938445959093,40000,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,150,paired_t,0.047925,0.0010680378548417,40000,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,200,paired_t,0.04965,0.0010861040178086,40000,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,400,paired_t,0.05005,0.0010902407704264,40000,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.6,10,paired_t,0.049825,0.0010879162349992,40000,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,15,paired_t,0.0509,0.0010989675836893,40000,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,20,paired_t,0.051075,0.0011007536551722,40000,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,25,paired_t,0.049875,0.001088433327942,40000,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,30,paired_t,0.051375,0.0011038071545224,40000,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,40,paired_t,0.051475,0.0011048226596947,40000,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,50,paired_t,0.050525,0.0010951281246388,40000,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,75,paired_t,0.049,0.0010793400761576,40000,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,100,paired_t,0.052375,0.0011139104471971,40000,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,150,paired_t,0.050975,0.0010997334833381,40000,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,200,paired_t,0.051725,0.0011073563606061,40000,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,400,paired_t,0.0486,0.0010751516172149,40000,-0.0002568952991997,0.0002568952991997,0.0024494897427831
