"simulations","comparison","p_raw","p_adj"
10,"mvbcf_pehe1 vs bcf_pehe1",0.699080546260821,1
10,"mvbcf_pehe2 vs bcf_pehe2",0.178513689721902,0.714054758887609
10,"mvbcf_tau_951 vs bcf_tau_951",0.911682303847339,1
10,"mvbcf_tau_952 vs bcf_tau_952",0.250192480614092,0.750577441842277
20,"mvbcf_pehe1 vs bcf_pehe1",0.878828095258021,0.983903080909162
20,"mvbcf_pehe2 vs bcf_pehe2",0.0504861790591421,0.201944716236568
20,"mvbcf_tau_951 vs bcf_tau_951",0.491951540454581,0.983903080909162
20,"mvbcf_tau_952 vs bcf_tau_952",0.058920919993741,0.201944716236568
30,"mvbcf_pehe1 vs bcf_pehe1",0.438924041942234,0.438924041942234
30,"mvbcf_pehe2 vs bcf_pehe2",0.0444358919654251,0.133307675896275
30,"mvbcf_tau_951 vs bcf_tau_951",0.083620960133605,0.16724192026721
30,"mvbcf_tau_952 vs bcf_tau_952",0.0151989273644164,0.0607957094576658
40,"mvbcf_pehe1 vs bcf_pehe1",0.578565650014185,0.578565650014185
40,"mvbcf_pehe2 vs bcf_pehe2",0.00973611858365939,0.0292083557509782
40,"mvbcf_tau_951 vs bcf_tau_951",0.0291464876913588,0.0582929753827176
40,"mvbcf_tau_952 vs bcf_tau_952",0.00196215189222244,0.00784860756888975
50,"mvbcf_pehe1 vs bcf_pehe1",0.465312122149279,0.465312122149279
50,"mvbcf_pehe2 vs bcf_pehe2",0.00508745833093837,0.0152623749928151
50,"mvbcf_tau_951 vs bcf_tau_951",0.0312120453616756,0.0624240907233513
50,"mvbcf_tau_952 vs bcf_tau_952",0.00028531822505141,0.00114127290020564
60,"mvbcf_pehe1 vs bcf_pehe1",0.670006610266241,0.670006610266241
60,"mvbcf_pehe2 vs bcf_pehe2",0.00314682322138508,0.00944046966415524
60,"mvbcf_tau_951 vs bcf_tau_951",0.0236480915922397,0.0472961831844794
60,"mvbcf_tau_952 vs bcf_tau_952",8.86292977800023e-05,0.000354517191120009
70,"mvbcf_pehe1 vs bcf_pehe1",0.319274505776947,0.319274505776947
70,"mvbcf_pehe2 vs bcf_pehe2",0.00361604712436984,0.0092640146209821
70,"mvbcf_tau_951 vs bcf_tau_951",0.0030880048736607,0.0092640146209821
70,"mvbcf_tau_952 vs bcf_tau_952",5.68437111063868e-05,0.000227374844425547
80,"mvbcf_pehe1 vs bcf_pehe1",0.221974657426044,0.221974657426044
80,"mvbcf_pehe2 vs bcf_pehe2",0.00125312409086989,0.00375937227260968
80,"mvbcf_tau_951 vs bcf_tau_951",0.00188806913555319,0.00377613827110638
80,"mvbcf_tau_952 vs bcf_tau_952",1.09690872673462e-05,4.38763490693848e-05
90,"mvbcf_pehe1 vs bcf_pehe1",0.150693659876894,0.150693659876894
90,"mvbcf_pehe2 vs bcf_pehe2",0.000537951682797337,0.00161385504839201
90,"mvbcf_tau_951 vs bcf_tau_951",0.00122752293914901,0.00245504587829801
90,"mvbcf_tau_952 vs bcf_tau_952",1.8827814775403e-06,7.53112591016122e-06
