"mvbcf_pehe1","mvbcf_pehe2","bcf_pehe1","bcf_pehe2","wsbcf_pehe1","wsbcf_pehe2","bart_pehe1","bart_pehe2","mvbart_pehe1","mvbart_pehe2","mvbcf_tau_951","mvbcf_tau_952","bcf_tau_951","bcf_tau_952","wsbcf_tau_951","wsbcf_tau_952","bart_tau_951","bart_tau_952","mvbart_tau_951","mvbart_tau_952"
8.45896588129526,11.2230329163247,8.61004397538446,21.0369622172222,14.5585422413619,19.4263041793569,7.81240734533256,16.2084596869735,8.65662417603573,9.99941088442857,0.964,0.87,0.854,0.227,0.962,0.858,1,0.758,0.941,0.909
9.77153832375203,8.91555460802222,8.22770879729578,9.71958625359292,10.030852537217,16.1598243206864,12.8001064427118,11.9955720934498,14.5180004668926,10.5147012566872,0.874,0.959,0.953,0.927,1,0.999,1,0.996,0.91,0.984
16.7735940364682,9.25532169367002,18.7838311272024,9.04226215841753,23.3548197760769,16.6302912692987,13.2638501180905,9.14734310613917,27.3253997140588,15.7614196899919,0.449,0.931,0.588,0.876,0.995,1,0.999,1,0.689,0.805
13.7774340785574,23.810037721298,8.63223771103155,19.1997177887169,12.2123295287621,21.501474967614,10.4297012149285,20.8584735065135,9.09361105927499,18.0712698270959,0.77,0.337,0.897,0.39,1,0.399,0.997,0.557,0.864,0.38
7.8272695248748,11.8027358408044,13.2991128622456,13.0393684276379,11.280778990057,11.6705714620916,7.28431410710237,16.8651991638802,15.9372674459244,21.8180279205269,0.963,0.93,0.79,0.693,1,1,1,0.854,0.84,0.721
16.4702847065142,9.67249496951616,8.4575264443002,14.0205418673188,8.38581815854619,13.8472900772024,15.4447255371496,10.8169938688392,24.4082126625274,22.8406569330623,0.787,0.954,0.995,0.879,1,1,1,0.981,0.577,0.611
11.9801778851673,11.1375852575836,9.91669593407172,9.56201067633186,13.3987593217401,19.2632408388313,7.03902735060203,10.8091879111511,18.6454246702773,17.0163694681018,0.812,0.887,0.889,0.919,0.905,1,1,0.994,0.648,0.77
7.85589895933556,8.92497718052136,8.16488390664035,13.5577985696302,8.2926532679498,13.480658746514,7.90136024750584,11.0638055376937,9.93214077653561,12.7836873955152,0.988,0.975,0.905,0.972,1,1,1,1,0.989,0.988
7.3129200003784,9.78346549378915,8.58307613289947,14.8235075027064,12.010071210308,10.2880772377459,8.57670865355666,10.6517633493922,7.7134746843812,12.8663172441166,0.993,0.931,0.85,0.68,1,0.996,1,0.965,0.987,0.816
8.05969781499706,8.27011669197437,9.40872087989602,15.6188351275375,12.6943101103195,8.75693917302446,10.248329078822,8.82835783010791,9.10747518986011,10.6545840699304,0.941,0.938,0.748,0.946,1,0.993,0.993,1,0.949,0.886
11.6360671486573,17.4793383436485,14.2531949128387,18.5821167170808,15.3408777285939,26.1770704599745,13.172193266636,21.8786852833449,10.7539513161752,17.2599456257124,0.945,0.66,0.666,0.72,0.991,0.829,0.992,0.838,0.941,0.806
7.25044488744271,11.6718160582999,18.2927235539313,17.8220403337941,10.4702803896204,13.9546595333671,7.20457022960968,10.4616088970334,10.1748987243667,13.2130576539455,0.996,0.902,0.441,0.33,0.997,1,1,0.996,0.962,0.764
