"mvbcf_pehe1","mvbcf_pehe2","bcf_pehe1","bcf_pehe2","wsbcf_pehe1","wsbcf_pehe2","bart_pehe1","bart_pehe2","mvbart_pehe1","mvbart_pehe2","mvbcf_tau_951","mvbcf_tau_952","bcf_tau_951","bcf_tau_952","wsbcf_tau_951","wsbcf_tau_952","bart_tau_951","bart_tau_952","mvbart_tau_951","mvbart_tau_952"
17.2141703880791,10.9308197696081,15.5219139775206,10.159672743986,9.26335883955726,14.5479321695912,9.91388439630518,9.04820014019097,12.0086734624732,8.78654906708679,0.606,0.972,0.634,0.997,0.993,0.942,0.99,0.995,0.792,0.985
8.77171994357318,6.1204824045407,8.7894854403227,12.4174436442999,15.2085859884002,6.73609365379776,13.3217829580145,7.2409365522793,12.3225665463457,13.4975315063656,0.919,1,0.988,0.721,0.741,1,0.972,1,0.891,0.886
10.0388031994106,6.74163667858448,9.12614107872564,9.47586702074324,20.1881234679662,12.2233613946168,11.3433281854782,9.84333529637233,10.1791343927265,8.96490392611625,0.685,0.995,0.891,0.694,0.972,1,0.961,1,0.862,0.979
24.8945668898983,9.71839915216967,22.2795920998874,11.8286233629693,21.3232382192941,14.7117586454984,21.2423565679526,10.7287209981049,20.1190690092473,14.9887976986215,0.242,0.8,0.278,0.96,0.721,1,0.422,0.989,0.461,0.802
9.71756262582961,13.5262755623607,8.46456187713678,18.913551817145,15.8692074239478,23.6262489823077,11.6994819694371,20.5338093423501,14.7284239606063,12.8329628691631,0.827,0.703,0.855,0.321,1,0.991,0.986,0.929,0.984,0.949
13.1998110649361,9.27890223580888,15.06468007767,10.8670176217305,8.74683311706838,18.5589156620224,13.8175066329976,9.22382157300827,15.4125677961719,14.6951724769413,1,0.998,0.714,0.902,1,0.971,0.952,1,0.832,0.897
7.7205672984779,9.24413675532826,9.42362167612055,10.388847813076,15.8129473670464,15.1983800235869,14.9236721051904,10.1247623291733,16.1276856744335,9.46142750087052,0.932,0.999,0.819,0.94,1,1,0.926,1,0.766,0.95
8.96910357737898,18.3755890980464,8.69856208738668,17.3260967099607,10.8773109778536,9.04157482346453,10.6586628144064,15.136112119154,10.3058130989667,15.1894463565064,0.855,0.569,0.945,0.594,1,1,0.962,0.897,0.794,0.491
13.1087891901176,17.3569192821871,8.85794643286529,12.2900902008705,24.1826654827277,11.3434122147896,12.6725563745569,11.4982564293954,13.8428917439445,21.2511962313472,0.87,0.756,0.941,0.603,0.959,0.975,0.955,0.976,0.965,0.843
18.3747294402035,15.559766681701,11.6618248817021,10.7589128794813,16.9406998774512,17.2652613834448,18.4346873662043,13.6866126821968,24.6271756389515,12.9683773098208,0.813,0.9,0.83,0.921,0.851,0.994,0.822,0.948,0.757,0.842
11.4671241006101,9.31721976695524,9.41828947640115,49.3135266129238,10.285011871679,9.00613651170417,10.3417044074703,13.674905048826,10.6490525108321,9.67215377606329,0.827,0.936,0.987,0.867,1,1,0.972,0.892,0.931,0.898
12.8724876843495,9.843992632878,17.9139075142733,8.97841927413817,16.1794362605966,10.3375812140916,16.4194266611063,8.9816860344108,15.5212285324248,9.66945692438915,0.578,0.805,0.317,0.961,1,1,0.954,1,0.852,0.944
15.1784769974461,9.70020665690939,22.2062324242565,16.9802671055864,17.9300438817901,7.38965332880794,16.5720684184921,9.70332144117254,19.9036204675039,14.8358663113152,0.685,0.92,0.281,0.401,0.684,1,0.946,0.989,0.51,0.927
11.1276888968119,11.7674467120019,17.2835267457955,15.8654211286256,13.7881546645762,21.0529144474932,11.931162326918,17.8665884518218,18.0993786476791,19.9909460782676,0.933,0.744,0.426,0.469,0.97,0.521,0.991,0.598,0.666,0.428
8.1060084548826,9.12355080406527,11.6293509444024,11.7019926074339,11.8341485742797,25.8318316508565,10.6199751210205,13.1421104227061,9.42023935518355,7.28920916542971,0.982,0.934,0.623,0.673,0.978,0.991,0.999,0.977,0.955,0.983
10.0534957890306,11.9162243033352,8.31471709107405,9.27432897147955,17.6997218002366,17.2283279821783,8.89129284290278,9.45093083391185,6.79406180407878,12.9231241998645,0.931,0.902,0.778,0.926,0.982,0.994,1,0.997,1,0.933
4.59328851797341,14.3221138665133,8.54212619316659,11.9062692915452,5.20420392356858,8.49187502279168,8.43420242063877,12.2085856197945,10.5709092438412,20.8644558998402,1,0.792,0.944,0.999,1,1,1,1,0.829,0.786
7.78762899097195,6.37851431445513,19.4391613420823,11.8934521316491,9.63174006245721,13.7899859251011,11.5527642507911,7.43277208877175,15.8474902937987,20.0720847572569,0.954,1,0.568,0.703,0.995,1,1,1,0.692,0.667
10.1406342340007,13.2732474949096,14.049669648476,18.6362500541006,8.07812099731432,13.5640671134484,10.1764153657533,16.8192049718688,11.2202949488328,15.6892735736897,0.971,0.844,0.655,0.472,0.999,0.993,0.992,0.809,0.839,0.95
10.0067452067186,7.5330571720559,15.7074733507459,10.1607568837954,7.77616493488493,10.1216461986508,8.87210026719537,8.98513557797508,9.29184885287804,11.6136644881267,0.939,0.985,0.694,0.763,1,1,1,1,0.946,0.701
14.4696592781596,11.7948511218353,10.8852691352315,9.09177553203551,7.83883322489362,7.13274756125808,13.3903193899542,8.55941732821974,8.58611644415846,7.81916958640285,0.866,0.943,0.796,0.956,0.984,1,0.974,0.997,0.984,0.999
8.47131728339952,7.55542611408931,11.608490118763,25.8369607920215,17.384116319555,12.4305905460829,8.98535867802725,11.9696505904627,11.5269477794615,12.6631953668455,0.989,1,0.938,0.645,0.999,0.999,0.991,0.986,0.899,0.954
24.1689619704573,11.1416369511003,10.0633771477214,17.2564996313318,16.3274097257863,14.6019730407309,9.60516183036471,11.2670170285713,8.392839473646,9.93509249472167,0.535,0.778,0.916,0.733,1,1,0.998,0.991,0.991,0.98
10.9730043529754,14.2157930289984,10.2047713118551,18.2984869951155,16.9517704688107,10.8416539329326,34.6398643015382,10.7820199993463,11.7122284830665,20.7888837688225,0.983,0.772,0.872,0.466,0.861,1,0.591,1,0.995,0.682
12.0002322341833,9.76906680788906,10.1440846308811,9.68862006145084,8.83276387680822,14.3131044068902,12.3544883243016,10.9626943042328,14.854748730417,10.0043717528546,0.892,0.93,0.842,0.908,1,1,0.982,0.987,0.823,0.833
9.80302811334231,10.0901005461109,8.43150234578289,20.9034660297345,11.6111161069764,17.7908120183094,8.51940705157527,8.96904279939977,8.4326336300918,9.95243310654558,0.882,0.929,0.816,0.451,0.953,0.805,1,1,0.815,0.679
10.1776623694063,14.4243096124233,11.0906438305054,11.2464994903765,23.6806228546788,14.7786305787809,8.72822130952256,13.1129487582648,9.65678115823584,13.1248554863279,0.967,0.867,0.68,0.941,1,0.979,0.995,0.945,0.985,0.965
9.09751942468562,12.359388610183,11.2966590688756,9.05237764940971,20.1701574360707,20.9427566975319,8.8273251018008,11.0886821115492,12.0828509462967,13.4807997247076,0.886,0.777,0.793,0.945,0.99,0.569,0.998,0.985,0.79,0.781
9.34159465742465,9.38429166527389,9.24426298843601,12.1619325463069,16.48214976678,12.564189804632,11.3971671733097,9.78168472423158,11.1903259842764,9.64658153836332,0.93,0.939,0.776,0.788,0.894,1,0.934,0.997,0.91,0.842
9.16715195770742,7.92907095982731,16.7857623637118,11.4841296967747,18.95621866349,17.5368515122326,8.62569382701346,12.8496232441598,9.29118658471603,9.92612490699324,0.929,0.973,0.522,0.807,0.862,1,0.995,0.743,0.952,0.863
18.9326795328113,10.8231692742261,15.8467397902172,9.79013831457525,13.6598469893357,11.1272498067167,24.3870560740898,14.4245342554104,21.5144307363415,10.0770192781184,0.359,0.815,0.767,0.81,0.946,1,0.614,0.976,0.573,0.918
6.59754320785538,14.4807528908866,9.39159448640373,12.3804758367398,24.6554406286954,7.05162835669231,11.3673384392786,7.61634763170328,7.87159665084282,10.0429387633592,1,0.892,0.988,0.845,0.589,1,1,1,1,0.991
8.72145264890555,20.0618072780974,9.99843875605274,25.5614263670301,9.20059920756992,16.6729417396644,6.61917450615349,19.0423062427815,9.40530610353152,20.7957050418639,0.96,0.563,0.852,0.457,1,0.986,1,0.935,1,0.7
7.02147227565831,12.9548594237734,9.47383013919193,19.696111703715,22.5687434518211,24.9587641436949,9.73834346155037,17.4247783924466,8.96057914554885,19.9508895909368,0.995,0.806,0.896,0.411,0.899,0.998,0.999,0.973,0.965,0.661
14.4481454935594,9.46694943994139,7.63648154119697,22.2028260293866,14.0310871106196,11.8986293262975,7.44541388202877,12.1363392635148,10.4001523082494,11.9042736729332,0.721,0.947,0.982,0.279,1,1,1,0.965,0.806,0.952
10.7053859610956,9.69805534165812,16.2778409707163,10.0987194111023,35.293330114412,16.4700070083086,13.4067537635447,10.2755761444044,14.7784822266115,13.5001085853456,0.965,0.894,0.723,0.781,0.988,1,0.992,0.99,0.815,0.764
9.5248011345439,14.37687021588,10.341649255613,9.24626566875138,28.1541873527872,11.8488714208372,9.01868517416797,9.94160287691985,12.1932663553177,16.4745807520647,0.895,0.958,0.959,0.974,0.562,1,1,1,0.825,0.51
11.8720307106528,10.1696115051509,10.1202161809346,9.57734331386365,10.0373218066382,9.30864736258103,8.9993130208868,11.4675328069847,17.0953631337663,9.60220268362833,0.793,0.865,0.786,0.879,1,1,0.999,0.976,0.849,0.976
16.8124237424046,13.5466544772324,11.2470949809772,12.2517901970399,24.0034271125844,21.1667161112942,12.0672300040084,8.27232186652337,12.5442303534754,14.5381713092591,0.601,0.939,1,0.73,1,1,0.999,1,0.903,0.932
17.4864681446482,13.8534573003141,13.7399849378118,17.7948340238416,23.0046300508259,20.1702156511055,17.4483643869252,13.752929707176,21.1472927769923,21.5348856514545,0.853,0.713,0.731,0.603,0.706,0.711,0.757,0.934,0.063,0.053
9.73591821915443,16.390231467453,11.032941152419,16.4248050923445,17.9372052354113,13.3953231866385,11.4183388953241,16.5458909768234,10.7356247243907,15.8171916796929,0.923,0.598,0.884,0.728,0.957,0.995,0.858,0.87,0.744,0.73
11.261661852907,9.52190206599153,11.0071678647265,9.70119834993166,19.4437109394601,10.3158569170297,9.06880252584139,15.9119591363643,8.07419856821793,9.12563946944705,0.917,0.983,0.825,0.983,1,1,1,0.971,1,1
10.0880668265725,10.0257194346587,9.45931301060361,13.1217196579588,12.9302950270898,17.3664737866621,12.9867011499705,19.2053501871462,22.3457287027698,13.6036497532503,0.973,0.939,0.76,0.757,0.896,1,0.96,0.913,0.73,0.999
12.029405049605,9.85548492932183,17.9834129955316,14.7892748833587,18.6533093098997,10.7660448370021,13.8309840556665,9.17909289464383,14.4544989944121,14.4360293767297,0.842,0.857,0.392,0.459,1,1,0.993,0.999,0.9,0.932
13.9765185505194,9.78495319903065,11.1193139772495,10.1549968014838,10.9978136867894,8.41760825217508,13.4858078733997,9.09361396647974,11.7815296857699,12.232467268536,0.887,0.892,0.702,0.82,1,1,0.987,1,0.755,0.873
20.5698771122069,14.1091374270354,10.7969880432942,18.8472520020046,5.80662249150141,20.776324506054,9.95079727616758,16.4525131135414,11.854898559525,10.2137794438802,0.677,0.77,0.913,0.462,1,0.979,1,0.866,0.999,1
11.5689040869506,17.6960897752921,8.88221976870619,13.077634979477,9.74698808096791,11.8163430124461,9.90122791644144,17.2429711404491,8.55331022499441,10.8487894504807,0.601,0.523,0.919,0.613,1,0.986,0.998,0.818,0.967,0.999
12.7171698465966,9.19932628271474,19.9389058102358,10.8379487573786,11.6331725107133,22.0234339629172,13.5599172881839,9.80107638073792,13.9431152560827,8.26763261962355,0.832,0.931,0.46,0.898,1,0.915,0.974,1,0.592,0.984
7.92374472402924,14.940859013632,17.979918172081,11.799245383606,15.389222706606,9.4723856831813,8.09403834621783,10.9185368822958,8.02405975569045,13.0063883350642,0.963,0.758,0.547,0.695,0.998,0.995,1,0.924,1,0.833
7.14163395810592,9.36645677047568,11.6352034444156,15.6997697331761,13.7004714336189,26.4308610183565,18.4246969015666,21.2483992091683,10.1482258433523,17.4442815200395,0.979,0.911,0.857,0.5,0.998,0.58,0.913,0.538,0.966,0.608
10.3585480961406,9.38887237675184,16.3382202946884,14.3989342978321,19.4182540072454,14.2792694731232,13.4234635476259,11.8440867885328,11.8417306167049,11.3217739264664,0.966,0.972,0.512,0.707,0.987,0.953,0.984,0.943,0.761,0.996
17.071982051278,24.007875773854,14.821678591068,17.255462610464,18.1999867886997,23.1353260383858,17.7682639052356,19.865383349852,14.5093184148977,19.7942383186309,0.821,0.471,0.611,0.633,0.904,0.829,0.833,0.666,0.802,0.631
9.34959987808735,16.2632004750564,16.8903843642531,12.2734729286758,8.37066723541133,19.2988667292149,8.92638596526388,14.1032182436595,10.8132784428346,16.8393625339885,0.855,0.545,0.455,0.748,1,0.988,1,0.931,0.825,0.486
8.33988948758602,10.8165042671649,10.7429516666494,19.4638587348908,21.7803237966858,16.8406065599893,9.53288234601818,10.3398426313974,10.3070051180126,8.84957074801842,0.955,0.898,0.838,0.483,0.932,0.999,0.993,0.999,0.908,0.952
10.7062366850321,16.1865248308795,12.4777015663585,17.2774042516089,17.7301765604826,11.4758758279306,10.9613442992009,13.9097878173858,11.8512925350638,10.6950425653034,0.87,0.52,0.787,0.861,0.997,0.995,0.964,0.999,0.798,0.919
6.44019595438656,12.3778535198729,8.60962234739946,11.7944100572077,16.0069651579579,11.6686024806463,8.77481645414602,10.3984153127695,7.63541688902988,9.03314811442147,0.999,0.985,0.987,0.737,1,0.994,0.999,1,0.994,1
12.5701641863619,11.054957874306,8.11612277067782,9.85899034308258,13.5483461008813,14.6501331099973,8.27746231631209,10.0142291949262,12.6803278012727,11.4367513247553,0.92,0.901,0.987,0.858,0.985,0.998,0.998,0.986,0.624,0.733
9.67251305347814,9.76657565561906,9.70282539391018,9.28924855608052,16.6134679838712,11.445944384508,8.58999233564768,9.10427433111769,13.1781555610715,12.0804426423462,0.945,0.777,0.943,0.779,0.982,0.979,0.983,1,0.913,0.882
16.8909841240685,8.84637071897002,19.4799862043343,9.95157664606631,15.6525387562707,15.0041816632989,17.7575928736429,9.42131532504049,22.5389610830079,18.2771238016236,0.561,0.933,0.405,0.923,0.964,1,0.748,1,0.639,0.705
12.7381297821138,4.87207489565737,16.8000747814524,8.51250851544615,11.5199568510087,8.57994965352449,14.5691911269688,10.1933767022196,11.2037804647631,12.0509863821571,0.848,1,0.783,0.939,1,1,0.967,1,0.931,0.943
5.33657906369586,5.82332109987052,8.22309144742807,14.2322595833588,9.70597718749047,11.1694926478107,7.28569347254962,11.6987111093959,8.90495542717913,12.6340090990871,1,1,0.932,0.923,0.987,1,1,0.993,0.976,0.909
7.82657338631019,17.175507503313,8.31606274201919,17.4799201232355,9.8780458591063,10.319913322467,9.56228392543498,8.73446543532997,9.7966762225557,9.73406222466558,0.997,0.849,0.94,0.502,0.999,1,0.998,1,0.953,0.889
6.7862666855812,7.58798688179146,8.29533653377067,9.96341488033245,21.8592668023225,10.3135784019167,9.05543467607935,9.01312851782106,15.2549142647845,11.9982505030713,0.999,0.99,0.94,0.868,0.965,0.887,0.987,1,0.932,0.94
9.10037595068244,18.0855194161176,8.13385285794009,16.9089749911537,19.2690050233725,21.8947987220845,9.12897213744086,16.1657460897322,9.67305258777424,18.3582319249269,0.943,0.609,0.937,0.54,1,0.47,0.999,0.785,0.857,0.614
13.0565525508357,12.0414357264129,11.9873831280411,14.6943413209221,15.4816542021944,14.0185784349858,22.4716704400311,9.06043669923936,19.4313937661108,12.2477875402162,0.929,0.865,0.994,0.78,0.998,0.987,0.886,0.972,0.892,0.898
9.65930005068322,18.0673233169611,10.0048452292095,9.23705237476058,12.1245972628871,18.1668937324382,13.1195409602893,9.5192776871467,8.5936980890961,16.1038817204803,0.966,0.772,0.743,0.863,1,0.999,0.96,1,0.977,0.832
6.71993031334362,8.1497420584067,10.2799759412946,25.7402343577388,9.92900894530621,20.4587645151941,8.93033096127573,9.05462397516026,9.31860817496564,9.86008851793301,1,1,0.961,0.688,1,0.998,1,1,0.988,0.941
7.77979627009343,5.62087282038337,8.75165593724022,12.552192835228,17.2977514592443,10.5671881263386,12.8818882059373,12.9164287752151,17.1050518638944,13.9579761775123,0.949,1,0.855,0.721,0.905,1,0.994,0.986,0.8,0.993
10.5950923972131,9.08712230536083,8.29730087921849,12.8238602632309,9.43234227447906,14.2763148652,9.55434621029452,12.4324592543939,20.9277012411861,15.9007086089092,0.783,0.955,0.986,0.617,0.997,1,0.997,0.998,0.791,0.74
11.2099987252538,15.9986859229499,9.6762098370016,10.0766416960004,14.9464307659165,12.0424702160004,12.3409975453408,17.8992229686259,10.6542334972624,11.5038185938736,0.907,0.692,0.939,0.783,0.954,1,0.902,0.873,0.974,0.896
11.5323684784396,12.8099373394421,14.0765749281097,13.6336926310667,9.26194098497729,16.3582133182691,18.419635863643,11.6918416140387,16.7089769540881,8.98373240487442,0.919,0.879,0.943,0.532,1,0.996,0.985,0.932,0.674,0.942
13.0982352836347,8.56805717403363,18.9045146362266,15.0361619824856,14.2235803179688,9.00909811543978,13.2105533742713,8.59257978521316,22.3226093695854,11.2628845477704,0.679,0.982,0.592,0.798,0.992,1,1,1,0.375,0.885
16.3118326073392,10.4748544962834,18.4996168769651,9.58711617610234,11.3484780535291,11.4673295172089,16.4884095624418,9.10557940873978,14.9900894198503,9.22616387358481,0.737,0.901,0.477,0.888,0.994,0.988,0.957,1,0.787,0.957
12.0003141364406,17.0845622466736,10.6884092480202,24.899111665018,18.2965299776662,23.5126345115078,8.10368466609879,13.409204134727,12.8748164015543,16.6763215398082,0.871,0.628,0.921,0.284,0.969,0.492,0.999,0.997,0.888,0.774
16.8536436511544,14.0523066677195,16.5834350599027,10.0005347055049,21.8988151056363,9.78725972289236,21.7148697443026,14.4515790224408,19.6726518167369,20.620150205921,0.532,0.568,0.782,0.536,0.987,1,0.8,1,0.868,0.596
8.74094723850337,5.86477143937352,8.74356553185783,9.0236057708177,8.49062203175298,9.22794667553084,11.2964382079412,8.02253528594819,12.4919168044268,7.39808562023913,0.976,0.97,0.84,0.988,1,1,0.972,1,0.976,0.99
9.87853889648642,9.36360289157131,19.1307311338024,23.4513210336095,13.3545208984826,17.1364215226752,11.1438266372371,16.2239763488717,10.8406489756226,10.2864958633392,0.967,0.843,0.424,0.532,0.917,0.998,0.994,0.945,0.955,1
12.7829253303415,7.60143139379637,12.9651704994614,9.44305957651626,8.69669141349419,9.71887088738448,12.4850724390445,13.5856772988647,11.5951989145534,9.30054755398076,0.855,0.994,0.618,0.874,0.997,1,0.961,0.996,0.938,0.965
