,mvbcf_pehe1,mvbcf_pehe2,bcf_pehe1,bcf_pehe2,wsbcf_pehe1,wsbcf_pehe2,bart_pehe1,bart_pehe2,mvbart_pehe1,mvbart_pehe2,mvbcf_tau_951,mvbcf_tau_952,bcf_tau_951,bcf_tau_952,wsbcf_tau_951,wsbcf_tau_952,bart_tau_951,bart_tau_952,mvbart_tau_951,mvbart_tau_952
0,16.069029808399,12.273601895496,17.6407378759818,14.6529599248302,15.6215744397226,15.5523182850759,16.1961831588604,12.0488016082153,16.4899448166662,10.8487813997492,0.71,0.866,0.544,0.841,0.953,0.705,0.917,0.987,0.869,0.997
1,12.1293601442583,8.48685829847614,19.9914317095086,9.44233924406822,15.9893894046336,11.6563618139409,13.0730058053192,8.61417659437419,11.4607926021155,8.96871144930739,0.886,0.974,0.322,0.778,0.713,0.942,0.964,0.999,0.969,0.996
2,7.85833601600939,8.5924856984104,20.6490487682337,10.1874307717376,8.63090728262041,10.5490007757887,9.61717388990159,10.5559436976636,9.30600573612248,10.5556221158897,0.99,0.987,0.965,0.796,0.995,0.939,0.998,0.978,0.997,0.934
3,4.7066655665456,4.35796122741119,8.35450339539624,9.19330646463624,7.14843294894289,5.57908887598644,6.03574051067829,4.84815387709133,5.22623968690514,4.90750620484325,1.0,1.0,0.968,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,10.2372610098635,11.8923025291667,13.7142501665895,14.9358894572018,12.1614820530961,12.0581702893179,10.9020624395251,13.5991006174475,12.3086300974537,12.143583370663,0.974,0.954,0.8,0.683,0.973,0.941,0.992,0.975,0.97,0.986
5,11.0226111338649,4.78932187562484,18.4653318077053,4.83679910728306,16.9811084358098,5.07488378107498,15.2467714716923,7.35552656615142,19.0416700371408,7.87833258941387,0.943,1.0,0.834,1.0,0.954,1.0,0.97,1.0,0.889,1.0
6,8.45596022442527,9.7493612075967,14.4622297689187,11.1474736615414,10.4941404533393,10.8055427691778,8.18269960395869,9.79088896939063,6.84050826298043,9.54111474744234,0.99,0.938,0.71,0.909,0.998,0.922,0.999,0.985,1.0,0.982
7,10.6147654176897,8.47950992206476,17.4857445510229,9.22129549316398,13.9385280478897,9.44189707526061,18.5768001209941,15.5986675156239,12.9193905453858,11.0696099276775,0.984,1.0,0.831,1.0,0.962,0.989,0.905,0.949,0.975,0.985
8,7.8335343520047,6.39383208720455,8.31844630957938,12.0459447730554,8.26950749822621,9.79991347337958,8.74704802622018,7.60410615249741,9.31631840461132,7.89801993392269,0.998,1.0,0.823,0.766,0.997,0.984,1.0,1.0,0.999,1.0
9,10.4767824227612,8.47593089120291,15.5417704801281,7.92645857296156,13.0842839318022,7.9652690769404,11.6774853228168,9.25512882186842,10.6940766924618,9.11025532924462,0.933,1.0,0.744,0.998,0.909,1.0,0.979,1.0,0.99,1.0
10,8.32359688195933,8.72245121984455,8.58705196424317,9.51960245731523,10.3840746396914,6.89972800528384,11.9943317757355,7.54059304044628,13.2418520161645,9.08806604910306,0.995,0.998,0.985,1.0,0.999,1.0,0.997,1.0,0.985,1.0
11,7.27952187900531,5.58670018750356,9.7389284979412,9.63832739914622,10.268710885523,7.26611491781089,8.7024127318588,6.93388733129452,8.50333648200918,6.62251090027178,0.988,1.0,0.964,0.947,0.971,1.0,1.0,1.0,1.0,1.0
12,7.19895501967126,8.10117009997181,8.971635029981,8.93130298741675,7.50731508432934,9.34610253707665,9.02204768707825,10.6235155772042,8.02426514050001,10.037964568884,1.0,0.99,0.821,0.964,1.0,0.999,0.999,0.997,1.0,0.996
