Unnamed: 0,mvbcf_pehe1,mvbcf_pehe2,bcf_pehe1,bcf_pehe2,wsbcf_pehe1,wsbcf_pehe2,bart_pehe1,bart_pehe2,mvbart_pehe1,mvbart_pehe2,mvbcf_tau_951,mvbcf_tau_952,bcf_tau_951,bcf_tau_952,wsbcf_tau_951,wsbcf_tau_952,bart_tau_951,bart_tau_952,mvbart_tau_951,mvbart_tau_952
23,8.46015405913045,10.0580257201741,10.1071686103273,15.6211612982119,11.0025643720142,13.4506996890899,7.9569330420356,12.149653236792,10.0563012677132,11.2447905809066,0.996,0.859,0.907,0.629,0.988,0.889,1.0,0.916,0.993,0.892
24,11.8200712071743,12.4782581607061,14.7699920967233,14.3219941142139,12.009761116139,11.4898411348655,14.72819831965,12.4761979309647,14.8047785317827,12.908367660848,0.958,0.908,0.394,0.541,0.99,0.982,0.974,0.997,0.931,0.967
25,12.9081778110605,10.2706296391696,13.674923871299,10.1950346990275,15.3433399108978,9.13229800367304,14.2365906065748,9.971810274752,12.7080568479469,12.1761177309147,0.836,0.979,0.734,0.742,0.783,0.992,0.947,1.0,0.97,0.996
26,8.44390313000067,12.1445096381019,10.4499145556212,11.2039130630867,9.15364184209816,10.1188443405179,10.4670469108568,11.7245702311655,11.178901793395,9.67976293738093,0.989,0.834,0.966,0.786,0.982,0.989,0.998,0.995,0.991,0.99
27,7.32331213432728,8.32522045257419,11.0579148816514,9.60496884300398,9.10407137722055,10.2286948013133,8.34840060594697,10.133881892342,7.57876827324925,10.8091017438495,0.999,0.999,0.932,0.953,0.991,0.997,1.0,1.0,1.0,0.997
28,8.91115497063753,5.85576386309245,10.2032106980336,12.9003643690007,11.883045162493,10.7064742250133,9.82466635151475,12.8256921778165,9.31806922370678,15.9573358953786,0.998,1.0,0.986,0.785,0.97,0.993,0.998,1.0,0.99,0.963
29,10.1053175203049,5.86247365485289,11.9595701876375,8.70551553882884,12.093510710776,8.2492331750667,10.6716151790218,7.38006325368625,11.2115550095258,7.01566253460655,0.977,0.999,0.902,0.988,0.952,1.0,0.991,1.0,0.988,0.999
30,8.47308947551377,9.80820537943649,13.2409036458125,10.0598614107909,14.08457542998,8.50583838535457,10.8535734158851,8.83236903495961,9.36061895612321,10.1186422388308,0.958,0.975,0.624,0.823,0.891,0.999,0.996,1.0,0.997,1.0
31,12.0005170907865,7.86046513527222,11.5346700435934,8.44346941680144,12.8557237097513,7.85348456836815,17.0371744382365,7.31166864593594,12.4868057068957,6.1070457309298,0.914,1.0,0.889,0.991,0.94,0.999,0.921,1.0,0.972,1.0
32,5.52776068798671,10.0104795482253,6.93916482145037,11.3132171040672,7.1406401856326,12.4546045340071,5.93105234213184,10.4008598627137,5.08094963994851,9.17940110347755,1.0,0.986,1.0,0.958,1.0,0.926,1.0,0.992,1.0,1.0
33,6.73420753246236,12.0789115649035,8.14415946821524,14.7092412981479,8.63721256785481,12.7115818303052,9.55080512714144,14.7465546035793,7.92660468123203,12.6098731631397,1.0,0.987,0.914,0.78,0.997,1.0,0.998,0.851,0.999,0.992
34,9.40392193720838,9.15434307928938,10.6863746707048,9.0491765182677,9.31876070449733,8.58179582156163,11.6525456638834,9.744514327622,11.3182121156795,10.1863225533148,0.997,0.982,0.996,0.914,1.0,0.998,0.988,0.999,0.997,0.997
35,5.95044696217732,6.24110155185861,7.98548827123839,9.74285642914845,8.52081392713272,9.32378239036665,6.37975990304508,9.10064940588806,6.13579409701256,7.46368431441335,1.0,1.0,1.0,0.956,1.0,0.996,1.0,0.999,1.0,1.0
36,10.6273313915779,7.9079816622936,11.9565136597488,10.0940375668328,11.4300376977241,8.98376718028023,14.7674687954733,7.72800069639971,10.4581711333889,8.71594466438111,0.939,0.999,0.963,0.926,0.969,0.997,0.946,1.0,0.971,0.998
37,8.74050820632867,8.51236184667421,10.7769707811672,10.8118892349961,10.057458109479,9.69644423536863,11.1340773312582,13.7549267473017,11.0781572922439,13.7327234181107,0.998,0.997,0.75,0.993,0.996,0.991,0.984,0.958,0.978,0.94
38,7.74989155817312,10.6344637683977,10.4573813473882,11.8524052893138,10.5101611117898,13.9661809565185,9.67806037910794,12.1120062197877,8.43285005685817,10.489917298133,0.995,0.954,0.955,0.591,0.998,0.856,0.999,0.943,1.0,0.984
39,9.05838229982627,6.9433973162795,9.6680656609727,10.1993488933596,8.41600245548542,8.28609807443812,9.21730420974826,8.13767300323983,9.76981941383076,8.52027740415891,0.999,1.0,0.944,0.708,0.99,1.0,1.0,1.0,0.999,1.0
40,10.6400478999749,9.63825487297306,10.6162565034562,10.8189806822726,14.2239422216027,11.3147066879413,15.6161399160748,14.1613035862827,14.7574692730575,11.7046806284852,0.921,0.949,0.82,0.939,0.874,0.927,0.92,0.969,0.911,0.989
41,12.7275036320489,8.18184185869808,14.6166635356292,8.66618991404735,16.1716588039492,9.10351036930339,14.7329597865349,11.7907278628792,14.5351318599786,10.7362658023387,0.917,1.0,0.669,0.889,0.769,0.985,0.867,0.998,0.953,0.995
42,11.7960851029241,9.08471609681118,17.5305760916816,11.4854599127548,12.4564345071429,8.80885093546425,16.0132007579448,10.4355618187062,18.1745632204738,10.0282853185585,0.907,0.997,0.634,0.669,0.986,0.995,0.918,0.998,0.821,0.997
43,9.56654474042784,9.88104245615609,11.8799277969772,11.5902201813617,12.2100431257115,12.5999188481759,11.3991164607728,8.72867677720917,11.7083433177112,9.80264861993099,0.947,0.907,0.939,0.861,0.867,0.933,0.966,1.0,0.95,0.992
44,7.28114716395139,9.84858859234367,9.02067083644599,11.8587761400402,9.31788579776221,10.4797004430519,8.65535525777691,10.8818993991142,8.36988285128141,11.58398546681,1.0,0.921,1.0,0.659,0.999,0.976,1.0,0.971,0.999,0.945
45,8.10966217331891,12.0988907599929,10.0989586267349,13.097078245725,10.1001837228955,11.7021893756737,12.0885730972295,12.9157135382543,11.4944559790839,14.8380494424581,0.993,0.974,0.761,0.989,0.981,0.992,0.975,1.0,0.963,0.964
46,6.86319171117933,6.9249398833799,11.3264888513042,8.41794137364236,9.18924713452243,8.23434630278919,10.6363864272145,8.80269939460031,8.35741252334589,8.64797880411034,1.0,1.0,0.876,0.993,0.998,1.0,0.995,1.0,1.0,1.0
