cell_id,seed,status,hostname,started_at,finished_at,runtime_seconds,shard_index,num_shards,output_paths,error
B_0000,400000,completed,laptopvanHugo,2026-08-08T14:38:23.088589+00:00,2026-08-08T14:38:23.534476+00:00,0.4459152460003679,0,1,"{""covariance"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_covariance.csv"",""manifest"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_manifest.csv"",""operating_characteristics"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_operating_characteristics.csv"",""verdict"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_verdict.md""}",
B_0001,400001,completed,laptopvanHugo,2026-08-08T14:38:23.088722+00:00,2026-08-08T14:38:23.464416+00:00,0.37572193300002255,0,1,"{""covariance"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_covariance.csv"",""manifest"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_manifest.csv"",""operating_characteristics"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_operating_characteristics.csv"",""verdict"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_verdict.md""}",
B_0002,400002,completed,laptopvanHugo,2026-08-08T14:38:23.088889+00:00,2026-08-08T14:38:23.509815+00:00,0.42095240100024967,0,1,"{""covariance"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_covariance.csv"",""manifest"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_manifest.csv"",""operating_characteristics"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_operating_characteristics.csv"",""verdict"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_verdict.md""}",
B_0003,400003,completed,laptopvanHugo,2026-08-08T14:38:23.088987+00:00,2026-08-08T14:38:23.426213+00:00,0.33725212100034696,0,1,"{""covariance"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_covariance.csv"",""manifest"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_manifest.csv"",""operating_characteristics"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_operating_characteristics.csv"",""verdict"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_verdict.md""}",
B_0004,400004,completed,laptopvanHugo,2026-08-08T14:38:23.089300+00:00,2026-08-08T14:38:23.723622+00:00,0.6343646739987889,0,1,"{""covariance"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_covariance.csv"",""manifest"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_manifest.csv"",""operating_characteristics"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_operating_characteristics.csv"",""verdict"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_verdict.md""}",
B_0005,400005,completed,laptopvanHugo,2026-08-08T14:38:23.090593+00:00,2026-08-08T14:38:23.804245+00:00,0.7136733959996491,0,1,"{""covariance"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_covariance.csv"",""manifest"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_manifest.csv"",""operating_characteristics"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_operating_characteristics.csv"",""verdict"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_verdict.md""}",
B_0006,400006,completed,laptopvanHugo,2026-08-08T14:38:23.089694+00:00,2026-08-08T14:38:23.672362+00:00,0.5826956339988101,0,1,"{""covariance"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_covariance.csv"",""manifest"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_manifest.csv"",""operating_characteristics"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_operating_characteristics.csv"",""verdict"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_verdict.md""}",
B_0007,400007,completed,laptopvanHugo,2026-08-08T14:38:23.089803+00:00,2026-08-08T14:38:23.660772+00:00,0.5709991789990454,0,1,"{""covariance"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_covariance.csv"",""manifest"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_manifest.csv"",""operating_characteristics"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_operating_characteristics.csv"",""verdict"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_verdict.md""}",
B_0008,400008,completed,laptopvanHugo,2026-08-08T14:38:23.091200+00:00,2026-08-08T14:38:23.505953+00:00,0.41477889999805484,0,1,"{""covariance"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_covariance.csv"",""manifest"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_manifest.csv"",""operating_characteristics"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_operating_characteristics.csv"",""verdict"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_verdict.md""}",
B_0009,400009,completed,laptopvanHugo,2026-08-08T14:38:23.426548+00:00,2026-08-08T14:38:23.831227+00:00,0.40469607499835547,0,1,"{""covariance"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_covariance.csv"",""manifest"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_manifest.csv"",""operating_characteristics"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_operating_characteristics.csv"",""verdict"":""/home/hugo_souto/Stuff/Submitted_Research/TISCA_paper/Test-Informed-Simulation-Count-Algorithm-TISCA/results/E1/module_b_joint_verdict.md""}",
