cell_id,module,family,K,rho,seed,extension,covariance_source,declared_parameters,contrast_map,declared_loss_covariance,implied_sigma_D,implied_corr_D,min_eigenvalue,loss_min_eigenvalue,diagnostic_n,diagnostic_seed,achieved_empirical_cov_D,achieved_empirical_corr_D,exact_contrast_mapping,shared_control_column,repeated_benchmark_columns,empirical_extension_is_synthetic
B_0025,B_joint,normal,1,0.6,400025,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.6],[0.6,1.0]]",[[0.8]],[[1.0]],0.8,0.4,10000,5.889863330322756e+18,[[0.7958776844357194]],[[1.0]],True,True,False,False
B_0027,B_joint,normal,1,0.6,400027,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.6],[0.6,1.0]]",[[0.8]],[[1.0]],0.8,0.4,10000,1.6474208142177974e+19,[[0.8026432708096441]],[[1.0]],True,True,False,False
B_0065,B_joint,normal,1,0.6,400065,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.6],[0.6,1.0]]",[[0.8]],[[1.0]],0.8,0.4,10000,1.298317177886418e+19,[[0.7889571105267986]],[[1.0]],True,True,False,False
B_0067,B_joint,normal,1,0.6,400067,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.6],[0.6,1.0]]",[[0.8]],[[1.0]],0.8,0.4,10000,1.643067136457668e+17,[[0.8026539891141559]],[[1.0]],True,True,False,False
B_0105,B_joint,normal,1,0.6,400105,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.6],[0.6,1.0]]",[[0.8]],[[1.0]],0.8,0.4,10000,1.526681620072568e+19,[[0.8092557570871068]],[[1.0]],True,True,False,False
B_0107,B_joint,normal,1,0.6,400107,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.6],[0.6,1.0]]",[[0.8]],[[1.0]],0.8,0.4,10000,1.486119235887576e+19,[[0.8202829641181245]],[[1.0]],True,True,False,False
B_0145,B_joint,normal,1,0.6,400145,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.6],[0.6,1.0]]",[[0.8]],[[1.0]],0.8,0.4,10000,1.3697692988790217e+19,[[0.8118118957443327]],[[1.0]],True,True,False,False
B_0147,B_joint,normal,1,0.6,400147,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.6],[0.6,1.0]]",[[0.8]],[[1.0]],0.8,0.4,10000,3.901637829197016e+18,[[0.809213299220766]],[[1.0]],True,True,False,False
B_0185,B_joint,normal,1,0.6,400185,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.6],[0.6,1.0]]",[[0.8]],[[1.0]],0.8,0.4,10000,1.2303872858081665e+19,[[0.8072512708870923]],[[1.0]],True,True,False,False
B_0187,B_joint,normal,1,0.6,400187,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.6],[0.6,1.0]]",[[0.8]],[[1.0]],0.8,0.4,10000,1.107825448533806e+19,[[0.7984366727061855]],[[1.0]],True,True,False,False
B_0225,B_joint,normal,3,0.6,400225,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0,-0.0,-0.0],[1.0,-0.0,-1.0,-0.0],[1.0,-0.0,-0.0,-1.0]]","[[1.0,0.6,0.6,0.6],[0.6,1.0,0.36,0.36],[0.6,0.36,1.0,0.36],[0.6,0.36,0.36,1.0]]","[[0.8,0.16000000000000003,0.16000000000000003],[0.16000000000000003,0.8,0.16000000000000003],[0.16000000000000003,0.16000000000000003,0.8]]","[[1.0,0.20000000000000007,0.20000000000000007],[0.20000000000000007,1.0,0.20000000000000007],[0.20000000000000007,0.20000000000000007,1.0]]",0.6400000000000001,0.2601818332105985,10000,1.709755436346713e+19,"[[0.7957173961048921,0.15056585746808304,0.151499631342368],[0.15056585746808304,0.8008996985234972,0.1524985900355394],[0.151499631342368,0.1524985900355394,0.7872846479844481]]","[[1.0,0.18860708820388133,0.19141072059888084],[0.18860708820388133,1.0,0.19204847894315472],[0.19141072059888084,0.19204847894315472,1.0]]",True,True,False,False
B_0227,B_joint,normal,3,0.6,400227,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0,-0.0,-0.0],[1.0,-0.0,-1.0,-0.0],[1.0,-0.0,-0.0,-1.0]]","[[1.0,0.6,0.6,0.6],[0.6,1.0,0.36,0.36],[0.6,0.36,1.0,0.36],[0.6,0.36,0.36,1.0]]","[[0.8,0.16000000000000003,0.16000000000000003],[0.16000000000000003,0.8,0.16000000000000003],[0.16000000000000003,0.16000000000000003,0.8]]","[[1.0,0.20000000000000007,0.20000000000000007],[0.20000000000000007,1.0,0.20000000000000007],[0.20000000000000007,0.20000000000000007,1.0]]",0.6400000000000001,0.2601818332105985,10000,1.3237942006986705e+19,"[[0.7983425456364538,0.15048505738249163,0.15990288519757112],[0.15048505738249163,0.8021467741656456,0.1559889670887639],[0.15990288519757112,0.1559889670887639,0.817575112159121]]","[[1.0,0.18804934293821518,0.1979237138212777],[0.18804934293821518,1.0,0.1926207769771407],[0.1979237138212777,0.1926207769771407,1.0]]",True,True,False,False
B_0265,B_joint,normal,3,0.6,400265,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0,-0.0,-0.0],[1.0,-0.0,-1.0,-0.0],[1.0,-0.0,-0.0,-1.0]]","[[1.0,0.6,0.6,0.6],[0.6,1.0,0.36,0.36],[0.6,0.36,1.0,0.36],[0.6,0.36,0.36,1.0]]","[[0.8,0.16000000000000003,0.16000000000000003],[0.16000000000000003,0.8,0.16000000000000003],[0.16000000000000003,0.16000000000000003,0.8]]","[[1.0,0.20000000000000007,0.20000000000000007],[0.20000000000000007,1.0,0.20000000000000007],[0.20000000000000007,0.20000000000000007,1.0]]",0.6400000000000001,0.2601818332105985,10000,1.7239643443772312e+19,"[[0.8027567184189841,0.17794412771534332,0.17412894000155185],[0.17794412771534332,0.8147877435070263,0.16322372755993972],[0.17412894000155185,0.16322372755993972,0.8110792731928611]]","[[1.0,0.22002368919471946,0.2157979576651624],[0.22002368919471946,1.0,0.2007841360678304],[0.2157979576651624,0.2007841360678304,1.0]]",True,True,False,False
B_0267,B_joint,normal,3,0.6,400267,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0,-0.0,-0.0],[1.0,-0.0,-1.0,-0.0],[1.0,-0.0,-0.0,-1.0]]","[[1.0,0.6,0.6,0.6],[0.6,1.0,0.36,0.36],[0.6,0.36,1.0,0.36],[0.6,0.36,0.36,1.0]]","[[0.8,0.16000000000000003,0.16000000000000003],[0.16000000000000003,0.8,0.16000000000000003],[0.16000000000000003,0.16000000000000003,0.8]]","[[1.0,0.20000000000000007,0.20000000000000007],[0.20000000000000007,1.0,0.20000000000000007],[0.20000000000000007,0.20000000000000007,1.0]]",0.6400000000000001,0.2601818332105985,10000,1.46572792159233e+19,"[[0.8226868196758557,0.15575216791319382,0.1634603592706946],[0.15575216791319382,0.7980057072738861,0.14417196191652826],[0.1634603592706946,0.14417196191652826,0.8166557594815828]]","[[1.0,0.1922267537739732,0.19942319262822902],[0.1922267537739732,1.0,0.17859047612412585],[0.19942319262822902,0.17859047612412585,1.0]]",True,True,False,False
B_0305,B_joint,normal,3,0.6,400305,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0,-0.0,-0.0],[1.0,-0.0,-1.0,-0.0],[1.0,-0.0,-0.0,-1.0]]","[[1.0,0.6,0.6,0.6],[0.6,1.0,0.36,0.36],[0.6,0.36,1.0,0.36],[0.6,0.36,0.36,1.0]]","[[0.8,0.16000000000000003,0.16000000000000003],[0.16000000000000003,0.8,0.16000000000000003],[0.16000000000000003,0.16000000000000003,0.8]]","[[1.0,0.20000000000000007,0.20000000000000007],[0.20000000000000007,1.0,0.20000000000000007],[0.20000000000000007,0.20000000000000007,1.0]]",0.6400000000000001,0.2601818332105985,10000,5.564718047686855e+18,"[[0.8024319732576887,0.16977650066628253,0.14938980762094653],[0.16977650066628253,0.8146134031387171,0.16345306355213188],[0.14938980762094653,0.16345306355213188,0.8031982784999306]]","[[1.0,0.209989553299329,0.18608247380902657],[0.209989553299329,1.0,0.20207189054074856],[0.18608247380902657,0.20207189054074856,1.0]]",True,True,False,False
B_0307,B_joint,normal,3,0.6,400307,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0,-0.0,-0.0],[1.0,-0.0,-1.0,-0.0],[1.0,-0.0,-0.0,-1.0]]","[[1.0,0.6,0.6,0.6],[0.6,1.0,0.36,0.36],[0.6,0.36,1.0,0.36],[0.6,0.36,0.36,1.0]]","[[0.8,0.16000000000000003,0.16000000000000003],[0.16000000000000003,0.8,0.16000000000000003],[0.16000000000000003,0.16000000000000003,0.8]]","[[1.0,0.20000000000000007,0.20000000000000007],[0.20000000000000007,1.0,0.20000000000000007],[0.20000000000000007,0.20000000000000007,1.0]]",0.6400000000000001,0.2601818332105985,10000,1.087519295969083e+19,"[[0.8008840556464029,0.16006525307370081,0.17082141395404904],[0.16006525307370081,0.8098194944549844,0.1626794910178649],[0.17082141395404904,0.1626794910178649,0.7957164732069951]]","[[1.0,0.19875502992292304,0.21398252801422615],[0.19875502992292304,1.0,0.20265602355513834],[0.21398252801422615,0.20265602355513834,1.0]]",True,True,False,False
B_0345,B_joint,normal,3,0.6,400345,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.6,""rho_latent"":0.6,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0,-0.0,-0.0],[1.0,-0.0,-1.0,-0.0],[1.0,-0.0,-0.0,-1.0]]","[[1.0,0.6,0.6,0.6],[0.6,1.0,0.36,0.36],[0.6,0.36,1.0,0.36],[0.6,0.36,0.36,1.0]]","[[0.8,0.16000000000000003,0.16000000000000003],[0.16000000000000003,0.8,0.16000000000000003],[0.16000000000000003,0.16000000000000003,0.8]]","[[1.0,0.20000000000000007,0.20000000000000007],[0.20000000000000007,1.0,0.20000000000000007],[0.20000000000000007,0.20000000000000007,1.0]]",0.6400000000000001,0.2601818332105985,10000,2.412264357673624e+18,"[[0.7984411093236332,0.16303928953772834,0.16746091576671507],[0.16303928953772834,0.8011097996422637,0.17193241724099223],[0.16746091576671507,0.17193241724099223,0.814180694762593]]","[[1.0,0.20385661442715863,0.20769766634279435],[0.20385661442715863,1.0,0.21288808073794954],[0.20769766634279435,0.21288808073794954,1.0]]",True,True,False,False
