cell_id,module,family,K,rho,seed,extension,covariance_source,declared_parameters,contrast_map,declared_loss_covariance,implied_sigma_D,implied_corr_D,min_eigenvalue,loss_min_eigenvalue,diagnostic_n,diagnostic_seed,achieved_empirical_cov_D,achieved_empirical_corr_D,exact_contrast_mapping,shared_control_column,repeated_benchmark_columns,empirical_extension_is_synthetic
B_0000,B_joint,normal,1,-0.3,400000,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,-0.3],[-0.3,1.0]]",[[2.6]],[[1.0]],2.6,0.7,10000,7.540101504757937e+18,[[2.6374853967923895]],[[1.0]],True,True,False,False
B_0001,B_joint,normal,1,-0.3,400001,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,-0.3],[-0.3,1.0]]",[[2.6]],[[1.0]],2.6,0.7,10000,5.992934035154999e+18,[[2.590556023576145]],[[1.0]],True,True,False,False
B_0002,B_joint,normal,1,-0.3,400002,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,-0.3],[-0.3,1.0]]",[[2.6]],[[1.0]],2.6,0.7,10000,1.6136780751205034e+19,[[2.6583669587149092]],[[1.0]],True,True,False,False
B_0003,B_joint,normal,1,-0.3,400003,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,-0.3],[-0.3,1.0]]",[[2.6]],[[1.0]],2.6,0.7,10000,1.508566539537389e+19,[[2.6358229505478974]],[[1.0]],True,True,False,False
B_0004,B_joint,empirical_copula,1,-0.3,400004,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6314292203854729,-0.24812788074845776],[-0.24812788074845776,1.3862647270198591]]",[[2.5139497089022473]],[[1.0]],2.513949708902248,0.5571705345078388,10000,6.794596517137942e+18,[[2.426119646947669]],[[1.0]],True,True,False,False
B_0005,B_joint,empirical_copula,1,-0.3,400005,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6314292203854729,-0.24812788074845776],[-0.24812788074845776,1.3862647270198591]]",[[2.5139497089022473]],[[1.0]],2.513949708902248,0.5571705345078388,10000,5.408189046568316e+18,[[2.45326701460417]],[[1.0]],True,True,False,False
B_0006,B_joint,empirical_copula,1,-0.3,400006,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6314292203854729,-0.24812788074845776],[-0.24812788074845776,1.3862647270198591]]",[[2.5139497089022473]],[[1.0]],2.513949708902248,0.5571705345078388,10000,6.636902980240401e+18,[[2.5626071870563463]],[[1.0]],True,True,False,False
B_0007,B_joint,empirical_copula,1,-0.3,400007,declared empirical-marginal Gaussian-copula extension,deterministic numerical population approximation (n=100000),"{""benchmark_residual_corr"":0.0,""rho_input"":-0.3,""rho_latent"":-0.3,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[0.6314292203854729,-0.24812788074845776],[-0.24812788074845776,1.3862647270198591]]",[[2.5139497089022473]],[[1.0]],2.513949708902248,0.5571705345078388,10000,1.526826367105015e+19,[[2.486228615215798]],[[1.0]],True,True,False,False
B_0008,B_joint,normal,1,0.0,400008,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.0],[0.0,1.0]]",[[2.0]],[[1.0]],2.0,1.0,10000,8.530375150675056e+18,[[2.027332481021353]],[[1.0]],True,True,False,False
B_0009,B_joint,normal,1,0.0,400009,common-control normal factor,exact factor covariance,"{""benchmark_residual_corr"":0.0,""rho_input"":0.0,""rho_latent"":0.0,""sigma_a"":1.0,""sigma_b"":1.0}","[[1.0,-1.0]]","[[1.0,0.0],[0.0,1.0]]",[[2.0]],[[1.0]],2.0,1.0,10000,3.2278656289600947e+18,[[2.0229454110833767]],[[1.0]],True,True,False,False
