cell_id,module,family,K,correction,rho,theta,design,R,J0,Jmax,alpha,alpha_adj,marginal_level_or_power,marginal_mcse,fwer,fwer_mcse,conjunctive_power,conjunctive_power_mcse,disjunctive_power,disjunctive_power_mcse,fdr,fdr_mcse,E_J,sd_J,q05_J,q50_J,q95_J,P_J_eq_Jmax,ci_coverage,bias,rmse,mean_wall,seed,theta_vector,marginal_estimand,marginal_by_contrast,marginal_mcse_by_contrast,mean_fdp,ci_coverage_mcse,bootstrap_B,benchmark_residual_corr,n_true_alternatives,n_true_nulls,planning_target_met_all,marginal_contrast_1,marginal_contrast_1_mcse,marginal_contrast_2,marginal_contrast_2_mcse,marginal_contrast_3,marginal_contrast_3_mcse,marginal_contrast_4,marginal_contrast_4_mcse,marginal_contrast_5,marginal_contrast_5_mcse,marginal_contrast_6,marginal_contrast_6_mcse,cell_index,module_cell,theta_mult,B,alpha_plan,alpha_note,source_module,projected_R
B_0601,B_joint,empirical,1,none,,0.0,D4,2000,50,1000,0.05,0.05,0.0735,0.005835141386461857,0.0735,0.005835141386461857,,,,,,,35.365,10.47553220605044,20.0,34.0,54.0,0.0,0.9265,0.0008304422612066082,0.16593264417843415,0.00021672767649943126,400601,[0.0],level,[0.0735],[0.005835141386461857],,0.005835141386461857,999,0.0,0,1,1.0,0.0735,0.005835141386461857,,,,,,,,,,,601,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0602,B_joint,empirical,1,none,,0.5,D3,2000,50,1000,0.05,0.05,0.918,0.006134981662564281,,,0.918,0.006134981662564281,0.918,0.006134981662564281,,,65.579,15.148490320820752,43.0,64.0,92.04999999999995,0.0,0.9675,0.006240177687680515,0.11688832466640244,0.00022887298400019063,400602,[0.5],power,[0.918],[0.006134981662564281],,0.00396508196636589,999,0.0,1,0,1.0,0.918,0.006134981662564281,,,,,,,,,,,602,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0603,B_joint,empirical,1,none,,0.5,D4,2000,50,1000,0.05,0.05,0.7895,0.009115639034099584,,,0.7895,0.009115639034099584,0.7895,0.009115639034099584,,,34.938,10.266214297393173,20.0,34.0,54.0,0.0,0.931,-0.0004079108725184804,0.16866316487783387,0.00018109920399911062,400603,[0.5],power,[0.7895],[0.009115639034099584],,0.0056674068144081545,999,0.0,1,0,1.0,0.7895,0.009115639034099584,,,,,,,,,,,603,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0604,B_joint,empirical,1,bonferroni,,0.0,D3,2000,50,1000,0.05,0.05,0.0025,0.001116635571706365,0.0025,0.001116635571706365,,,,,,,65.176,14.811381569590326,43.0,64.0,93.0,0.0,0.9635,0.006778611513855735,0.11688503095918493,0.00021163155899921548,400604,[0.0],level,[0.0025],[0.001116635571706365],,0.004193313129257102,999,0.0,0,1,1.0,0.0025,0.001116635571706365,,,,,,,,,,,604,B,0.0,999,0.05,plan every contrast at alpha/K = 0.05000/1,B,2000
B_0605,B_joint,empirical,1,bonferroni,,0.0,D4,2000,50,1000,0.05,0.05,0.0665,0.005571254347092763,0.0665,0.005571254347092763,,,,,,,34.8205,10.291272018074345,20.0,34.0,54.0,0.0,0.9335,-0.0038250774751709482,0.1658101751413945,0.0001999060134985484,400605,[0.0],level,[0.0665],[0.005571254347092763],,0.005571254347092763,999,0.0,0,1,1.0,0.0665,0.005571254347092763,,,,,,,,,,,605,B,0.0,999,0.05,plan every contrast at alpha/K = 0.05000/1,B,2000
B_0606,B_joint,empirical,1,bonferroni,,0.5,D3,2000,50,1000,0.05,0.05,0.9115,0.006350895606133045,,,0.9115,0.006350895606133045,0.9115,0.006350895606133045,,,65.169,14.82856833952624,43.95,64.0,92.0,0.0,0.965,0.007260975992146904,0.11663827307036777,0.00021074744150064361,400606,[0.5],power,[0.9115],[0.006350895606133045],,0.00410944035119139,999,0.0,1,0,1.0,0.9115,0.006350895606133045,,,,,,,,,,,606,B,1.0,999,0.05,plan every contrast at alpha/K = 0.05000/1,B,2000
B_0607,B_joint,empirical,1,bonferroni,,0.5,D4,2000,50,1000,0.05,0.05,0.809,0.008789738335126933,,,0.809,0.008789738335126933,0.809,0.008789738335126933,,,35.1275,10.558325802417729,21.0,33.0,55.0,0.0,0.9285,-0.00027613353221737924,0.16470565949800867,0.00022059099199941555,400607,[0.5],power,[0.809],[0.008789738335126933],,0.005761412587204635,999,0.0,1,0,1.0,0.809,0.008789738335126933,,,,,,,,,,,607,B,1.0,999,0.05,plan every contrast at alpha/K = 0.05000/1,B,2000
B_0608,B_joint,empirical,1,holm,,0.0,D3,2000,50,1000,0.05,0.05,0.0035,0.0013205585939290994,0.0035,0.0013205585939290994,,,,,,,65.5645,15.36378338007927,43.0,64.0,93.0,0.0,0.962,0.013253030515086358,0.1173952682322333,0.00022584566099976655,400608,[0.0],level,[0.0035],[0.0013205585939290994],,0.004275277768753747,999,0.0,0,1,1.0,0.0035,0.0013205585939290994,,,,,,,,,,,608,B,0.0,999,0.05,plan every contrast at alpha/K = 0.05000/1,B,2000
B_0609,B_joint,empirical,1,holm,,0.0,D4,2000,50,1000,0.05,0.05,0.056,0.005141206084179081,0.056,0.005141206084179081,,,,,,,35.6385,10.67163613275865,21.0,35.0,55.0,0.0,0.944,0.0009661867728298146,0.15714188944298665,0.00023086343500108343,400609,[0.0],level,[0.056],[0.005141206084179081],,0.005141206084179083,999,0.0,0,1,1.0,0.056,0.005141206084179081,,,,,,,,,,,609,B,0.0,999,0.05,plan every contrast at alpha/K = 0.05000/1,B,2000
B_0610,B_joint,empirical,1,holm,,0.5,D3,2000,50,1000,0.05,0.05,0.9085,0.006447005118657811,,,0.9085,0.006447005118657811,0.9085,0.006447005118657811,,,65.535,15.011987709827103,43.0,65.0,92.0,0.0,0.9585,0.0077072507236316855,0.11801725966152637,0.00023236916399946495,400610,[0.5],power,[0.9085],[0.006447005118657811],,0.004459694496263168,999,0.0,1,0,1.0,0.9085,0.006447005118657811,,,,,,,,,,,610,B,1.0,999,0.05,plan every contrast at alpha/K = 0.05000/1,B,2000
