"simulations","comparison","power"
10,"mvbcf_pehe1 vs bcf_pehe1",0.337006290932117
10,"mvbcf_pehe2 vs bcf_pehe2",0.26505823164037
10,"mvbcf_tau_951 vs bcf_tau_951",0.193694711843003
10,"mvbcf_tau_952 vs bcf_tau_952",0.13807585306708
20,"mvbcf_pehe1 vs bcf_pehe1",0.405600479037138
20,"mvbcf_pehe2 vs bcf_pehe2",0.459158261930277
20,"mvbcf_tau_951 vs bcf_tau_951",0.207311297714751
20,"mvbcf_tau_952 vs bcf_tau_952",0.189037073628309
30,"mvbcf_pehe1 vs bcf_pehe1",0.529673920053836
30,"mvbcf_pehe2 vs bcf_pehe2",0.36086641661804
30,"mvbcf_tau_951 vs bcf_tau_951",0.250578554314842
30,"mvbcf_tau_952 vs bcf_tau_952",0.258126713134066
40,"mvbcf_pehe1 vs bcf_pehe1",0.675477112060549
40,"mvbcf_pehe2 vs bcf_pehe2",0.477485738145569
40,"mvbcf_tau_951 vs bcf_tau_951",0.334990369986846
40,"mvbcf_tau_952 vs bcf_tau_952",0.329753177111146
50,"mvbcf_pehe1 vs bcf_pehe1",0.786271795734455
50,"mvbcf_pehe2 vs bcf_pehe2",0.574979182488409
50,"mvbcf_tau_951 vs bcf_tau_951",0.397155978541176
50,"mvbcf_tau_952 vs bcf_tau_952",0.386744803228521
60,"mvbcf_pehe1 vs bcf_pehe1",0.856410159003919
60,"mvbcf_pehe2 vs bcf_pehe2",0.688677492773308
60,"mvbcf_tau_951 vs bcf_tau_951",0.457707868049564
60,"mvbcf_tau_952 vs bcf_tau_952",0.448484578333996
70,"mvbcf_pehe1 vs bcf_pehe1",0.910896314258277
70,"mvbcf_pehe2 vs bcf_pehe2",0.767692346704031
70,"mvbcf_tau_951 vs bcf_tau_951",0.519582641000462
70,"mvbcf_tau_952 vs bcf_tau_952",0.503297044593354
80,"mvbcf_pehe1 vs bcf_pehe1",0.940738033756648
80,"mvbcf_pehe2 vs bcf_pehe2",0.812981766208094
80,"mvbcf_tau_951 vs bcf_tau_951",0.571676174636917
80,"mvbcf_tau_952 vs bcf_tau_952",0.563620082587153
90,"mvbcf_pehe1 vs bcf_pehe1",0.962732235881849
90,"mvbcf_pehe2 vs bcf_pehe2",0.855756707449648
90,"mvbcf_tau_951 vs bcf_tau_951",0.615254352638743
90,"mvbcf_tau_952 vs bcf_tau_952",0.602698324883041
