contrast,dgp,n,C1,C2,C3,C4,C5,C6
C1,1,500,1.1216513773067707,0.08445697480090295,0.891076313471871,-0.18798473042015876,0.46091897256544045,-0.18322859485891946
C2,1,500,0.08445697480090295,1.619211465130064,0.004219246277809138,0.6835960659568567,-0.012429053602504701,0.4978193134671204
C3,1,500,0.891076313471871,0.004219246277809138,2.838447127262421,0.1304160494882584,1.545358433493842,-0.017145283489152143
C4,1,500,-0.18798473042015876,0.6835960659568567,0.1304160494882584,5.476516537666198,0.4987978561046568,2.014272197883115
C5,1,500,0.46091897256544045,-0.012429053602504701,1.545358433493842,0.4987978561046568,2.343149618269758,0.4226212541317443
C6,1,500,-0.18322859485891946,0.4978193134671204,-0.017145283489152143,2.014272197883115,0.4226212541317443,2.4244287477926023
C1,2,500,1.246886113883576,0.0782921912770726,0.804673509586738,-0.2024856487578803,0.6328943493720021,0.008177806569943893
C2,2,500,0.0782921912770726,0.5785922816332859,0.23193590103802092,0.2708213466155691,0.19026522902005474,0.1445148562916687
C3,2,500,0.804673509586738,0.23193590103802092,1.886136827373303,0.005966033995375119,1.0400816084580586,0.043173308173410904
C4,2,500,-0.2024856487578803,0.2708213466155691,0.005966033995375119,2.6153992405388844,0.20827498191403615,1.6239193770964655
C5,2,500,0.6328943493720021,0.19026522902005474,1.0400816084580586,0.20827498191403615,1.563916077738767,0.2623709175144292
C6,2,500,0.008177806569943893,0.1445148562916687,0.043173308173410904,1.6239193770964655,0.2623709175144292,1.977134603807117
C1,3,500,2.1011262430885385,-0.05414209304530205,1.2427287337529977,-0.5669142425484943,0.6056484235067712,-0.7206923571415081
C2,3,500,-0.05414209304530205,1.2735700137979118,-0.32884672585744346,0.438114762197342,-0.13024562710096568,0.25605861526723844
C3,3,500,1.2427287337529977,-0.32884672585744346,4.964686818014447,-0.6667647803216766,2.283780647457603,-0.6595050110908675
C4,3,500,-0.5669142425484943,0.438114762197342,-0.6667647803216766,4.6453713304596675,-0.4739247359234352,2.5163541869058843
C5,3,500,0.6056484235067712,-0.13024562710096568,2.283780647457603,-0.4739247359234352,3.430445354207786,-0.2276860949813749
C6,3,500,-0.7206923571415081,0.25605861526723844,-0.6595050110908675,2.5163541869058843,-0.2276860949813749,3.7627504941311556
C1,1,100,13.93581536781354,-0.22664518622054744,4.109023417439782,-1.4205533608318655,5.142048745429299,-0.49674429535127534
C2,1,100,-0.22664518622054744,8.716470290619387,-0.8637217640254897,3.1387650744453004,-1.8080804431516362,2.948912753077466
C3,1,100,4.109023417439782,-0.8637217640254897,4.933474800444483,-0.32405542126769005,4.524262512847848,0.03216266418968098
C4,1,100,-1.4205533608318655,3.1387650744453004,-0.32405542126769005,4.812123910611036,0.29220079328108683,3.541467009255384
C5,1,100,5.142048745429299,-1.8080804431516362,4.524262512847848,0.29220079328108683,12.877312861327319,1.8579640300379427
C6,1,100,-0.49674429535127534,2.948912753077466,0.03216266418968098,3.541467009255384,1.8579640300379427,5.966500569238008
