dgp,n,contrast,label,J_used,estimate,mcse,ci_low,ci_high,ci_level,sd_confirmatory,t,df,p_unadjusted
1,500,C1,"MVBCF vs BCF, PEHE Y1",900,-0.5041595600076312,0.040533574542743776,-0.6113347768982942,-0.3969843431169682,0.9916666666666667,1.2160072362823133,-12.438073022056837,899,6.941269072820453e-33
1,500,C2,"MVBCF vs BCF, PEHE Y2",900,-0.36910286340920984,0.0383759188572146,-0.470573002011549,-0.26763272480687067,0.9916666666666667,1.151277565716438,-9.618085361878421,899,6.536558034411166e-21
1,500,C3,"MVBCF vs BART, PEHE Y1",900,-1.578039502620935,0.06479644584012939,-1.7493684124198159,-1.4067105928220542,0.9916666666666667,1.9438933752038818,-24.353797220828923,899,5.2045561331715074e-101
1,500,C4,"MVBCF vs BART, PEHE Y2",900,-1.5443974896239054,0.0641136341731856,-1.713920970483303,-1.374874008764508,0.9916666666666667,1.9234090251955678,-24.088440930553624,899,2.560391541984369e-99
1,500,C5,"MVBCF vs MVBART, PEHE Y1",900,-1.1911762183325896,0.058429434981911714,-1.3456700530764667,-1.0366823835887125,0.9916666666666667,1.7528830494573515,-20.386577736056285,899,3.085597750925448e-76
1,500,C6,"MVBCF vs MVBART, PEHE Y2",900,-1.3242446892398634,0.05268004492946184,-1.4635365060810128,-1.184952872398714,0.9916666666666667,1.5804013478838552,-25.137501135639052,899,4.995294061724259e-106
2,500,C1,"MVBCF vs BCF, PEHE Y1",900,-1.3480014910479454,0.03620347949723537,-1.4437274617052134,-1.2522755203906775,0.9916666666666667,1.086104384917061,-37.234031362949075,899,2.494173164823237e-184
2,500,C2,"MVBCF vs BCF, PEHE Y2",900,-0.3259414644968642,0.02624687892439765,-0.3953410911806368,-0.25654183781309153,0.9916666666666667,0.7874063677319295,-12.418294206930904,899,8.572812243700683e-33
2,500,C3,"MVBCF vs BART, PEHE Y1",900,-1.438066983006294,0.041536300262757904,-1.5478935166815408,-1.3282404493310471,0.9916666666666667,1.2460890078827371,-34.62193247614996,899,1.3786617221478116e-167
2,500,C4,"MVBCF vs BART, PEHE Y2",900,-1.117761805637822,0.051120714532164734,-1.2529305818781904,-0.9825930293974537,0.9916666666666667,1.533621435964942,-21.865144410971318,899,2.546573399201856e-85
2,500,C5,"MVBCF vs MVBART, PEHE Y1",900,-1.4359519860175776,0.036001362212611195,-1.5311435364056905,-1.3407604356294647,0.9916666666666667,1.0800408663783359,-39.88604590952303,899,4.502090386604777e-201
2,500,C6,"MVBCF vs MVBART, PEHE Y2",900,-1.0536398239597624,0.045445108295880006,-1.1738016748000932,-0.9334779731194316,0.9916666666666667,1.3633532488764002,-23.18488971573832,899,1.3752330589877112e-93
3,500,C1,"MVBCF vs BCF, PEHE Y1",900,-0.34323057199601703,0.04455300740459502,-0.46103361023246564,-0.22542753375956842,0.9916666666666667,1.3365902221378507,-7.703869884227334,899,3.482820286919656e-14
3,500,C2,"MVBCF vs BCF, PEHE Y2",900,-0.12891526224582084,0.03792524488125653,-0.22919376942494693,-0.028636755066694747,0.9916666666666667,1.137757346437696,-3.3991939313629462,899,0.0007055687837448799
3,500,C3,"MVBCF vs BART, PEHE Y1",900,-1.5391292646298604,0.07265283269887066,-1.7312313229867258,-1.347027206272995,0.9916666666666667,2.1795849809661196,-21.184711007885937,899,4.095155282345836e-81
3,500,C4,"MVBCF vs BART, PEHE Y2",900,-1.2122728665386118,0.06431957697196695,-1.3823408827461856,-1.042204850331038,0.9916666666666667,1.9295873091590086,-18.847649869758452,899,4.9146116946740876e-67
3,500,C5,"MVBCF vs MVBART, PEHE Y1",900,-1.5101996468943917,0.07020391350617167,-1.69582649430364,-1.3245727994851433,0.9916666666666667,2.10611740518515,-21.511616254293703,899,3.950421442218874e-83
3,500,C6,"MVBCF vs MVBART, PEHE Y2",900,-1.020219732527871,0.053500976240203654,-1.1616821817959313,-0.8787572832598107,0.9916666666666667,1.6050292872061096,-19.06917974631686,899,2.4259179331871296e-68
1,100,C1,"MVBCF vs BCF, PEHE Y1",900,-1.8031244805163709,0.11099431733476083,-2.0966056296175823,-1.5096433314151592,0.9916666666666667,3.329829520042825,-16.245196365126652,899,3.1475364522061058e-52
1,100,C2,"MVBCF vs BCF, PEHE Y2",900,-2.093769537735536,0.1184120822880435,-2.4068640709678135,-1.7806750045032584,0.9916666666666667,3.552362468641305,-17.682059949273874,899,2.843231036334835e-60
1,100,C3,"MVBCF vs BART, PEHE Y1",900,-1.8808123815174975,0.07931243075187377,-2.0905231475639,-1.671101615471095,0.9916666666666667,2.3793729225562132,-23.713967201453638,899,6.15453159902191e-97
1,100,C4,"MVBCF vs BART, PEHE Y2",900,-1.4470969109359173,0.06969072120316364,-1.6313668216081032,-1.2628270002637314,0.9916666666666667,2.090721636094909,-20.764556399370793,899,1.5408412575349267e-78
1,100,C5,"MVBCF vs MVBART, PEHE Y1",900,-3.182641471402285,0.10406604528025451,-3.4578035092853088,-2.9074794335192613,0.9916666666666667,3.1219813584076355,-30.582900146068674,899,2.261105017812827e-141
1,100,C6,"MVBCF vs MVBART, PEHE Y2",900,-2.437429064419084,0.08680630993378233,-2.6669544689653932,-2.207903659872775,0.9916666666666667,2.6041892980134698,-28.078938803854307,899,4.645074381808975e-125
