dgp,contrast,label,J0,sd_tau,delta,target_mcse,sd_pilot,sigma_ub,inflation,J_precision,J_power,J_contrast,J_final,capped_at_J_max,n
1,C1,"MVBCF vs BCF, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.0590804394883189,1.1297280441095048,1.0667065522004338,8,8,8,30,0,500
1,C2,"MVBCF vs BCF, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,1.2724824026799209,1.3573653164984223,1.0667065522004338,9,8,9,30,0,500
1,C3,"MVBCF vs BART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.6847691614172022,1.7971543034289599,1.0667065522004338,20,13,20,30,0,500
1,C4,"MVBCF vs BART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,2.340195833187085,2.496302228692817,1.0667065522004338,30,19,30,30,0,500
1,C5,"MVBCF vs MVBART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.5307349928285297,1.6328450465326765,1.0667065522004338,16,12,16,30,0,500
1,C6,"MVBCF vs MVBART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,1.5570577214068213,1.660923673578934,1.0667065522004338,14,10,14,30,0,500
2,C1,"MVBCF vs BCF, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.1166405481996324,1.1911277892172323,1.0667065522004338,9,8,9,15,0,500
2,C2,"MVBCF vs BCF, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,0.7606525367296726,0.8113930448774228,1.0667065522004338,4,5,5,15,0,500
2,C3,"MVBCF vs BART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.3733669674829458,1.4649795427896983,1.0667065522004338,13,10,13,15,0,500
2,C4,"MVBCF vs BART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,1.6172196018286704,1.7250987456176192,1.0667065522004338,15,11,15,15,0,500
2,C5,"MVBCF vs MVBART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.250566302815955,1.3339872691748509,1.0667065522004338,11,9,11,15,0,500
2,C6,"MVBCF vs MVBART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,1.4061061851108954,1.4999026807473481,1.0667065522004338,11,9,11,15,0,500
3,C1,"MVBCF vs BCF, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.4495262133154188,1.5462191093298407,1.0667065522004338,15,11,15,34,0,500
3,C2,"MVBCF vs BCF, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,1.1285255928856517,1.2038056442570038,1.0667065522004338,7,7,7,34,0,500
3,C3,"MVBCF vs BART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,2.228157718388545,2.37679043754103,1.0667065522004338,34,20,34,34,0,500
3,C4,"MVBCF vs BART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,2.1553123510200716,2.2990858068716316,1.0667065522004338,26,16,26,34,0,500
3,C5,"MVBCF vs MVBART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.8521461481772399,1.9756964318934573,1.0667065522004338,24,15,24,34,0,500
3,C6,"MVBCF vs MVBART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,1.9397810428321947,2.069177148223292,1.0667065522004338,21,14,21,34,0,500
1,C1,"MVBCF vs BCF, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,3.7330705013183905,3.982090763582485,1.0667065522004338,96,50,96,96,0,100
1,C2,"MVBCF vs BCF, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,2.9523668963425576,3.149309112828265,1.0667065522004338,48,27,48,96,0,100
1,C3,"MVBCF vs BART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,2.221142678993063,2.369307449053925,1.0667065522004338,34,20,34,96,0,100
1,C4,"MVBCF vs BART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,2.1936553764461353,2.3399865633248016,1.0667065522004338,27,17,27,96,0,100
1,C5,"MVBCF vs MVBART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,3.5884972984979826,3.827873580861354,1.0667065522004338,88,47,88,96,0,100
1,C6,"MVBCF vs MVBART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,2.442642128769175,2.6055823634388946,1.0667065522004338,33,20,33,96,0,100
