dgp,n,contrast,label,J_low,J_high,estimate_low,estimate_high,estimate_change_high_minus_low,sd_low,sd_high,mcse_low,mcse_high,mcse_low_over_high,mcse_reduction_pct,ci95_halfwidth_low,ci95_halfwidth_high,ci95_halfwidth_reduction_pct,expected_mcse_low_over_high,expected_mcse_reduction_pct
1,500,C1,"MVBCF vs BCF, PEHE Y1",500,1000,-0.5226072499670122,-0.5004723383517713,0.02213491161524095,1.1818646400210413,1.200806123966623,0.05285459350580733,0.03797282380013033,1.3919057951551637,28.156057437168414,0.103593099688887,0.07442536703954085,28.156057437168403,1.4142135623730951,29.289321881345252
1,500,C2,"MVBCF vs BCF, PEHE Y2",500,1000,-0.414708179401556,-0.3709699945565542,0.043738184845001804,1.2040211778673322,1.1632958169659977,0.0538454640012144,0.036786643741588985,1.4637232028955018,31.681072075524654,0.10553517017322822,0.07210049684562019,31.681072075524664,1.4142135623730951,29.289321881345252
1,500,C3,"MVBCF vs BART, PEHE Y1",500,1000,-1.5473309116351195,-1.5298331685964968,0.017497743038622726,1.9599496898927955,1.9242386034101226,0.08765161478159846,0.060849767483974325,1.4404593214704196,30.577699411934734,0.1717940081587116,0.11926335273622614,30.577699411934734,1.4142135623730951,29.289321881345252
1,500,C4,"MVBCF vs BART, PEHE Y2",500,1000,-1.8029084722649822,-1.5717816358004906,0.23112683646449161,2.0011116342490936,1.9694302129941992,0.08949243289493339,0.062278851658122095,1.436963439631152,30.408807042670073,0.17540194536293705,0.12206430624843194,30.408807042670073,1.4142135623730951,29.289321881345252
1,500,C5,"MVBCF vs MVBART, PEHE Y1",500,1000,-1.1567929055551258,-1.1703217842066178,-0.013528878651491993,1.6558964557466374,1.732383797031042,0.07405394077500907,0.05478278580188936,1.3517739138496874,26.023132289028883,0.14514305683227996,0.10737228714447537,26.023132289028883,1.4142135623730951,29.289321881345252
1,500,C6,"MVBCF vs MVBART, PEHE Y2",500,1000,-1.321335535805743,-1.3143235370234916,0.00701199878225145,1.4866874723352292,1.5775921577939296,0.0664866849887782,0.04988784437448573,1.3327231477410089,24.96566134571767,0.13031150802946512,0.09777837824033117,24.96566134571767,1.4142135623730951,29.289321881345252
2,500,C1,"MVBCF vs BCF, PEHE Y1",500,1000,-1.3763163162675773,-1.3505190686596487,0.025797247607928675,1.1038419843159353,1.088652732751728,0.049365314266973756,0.03442622216462046,1.4339451488727704,30.262325529947663,0.09675423804876986,0.06747415556643065,30.262325529947653,1.4142135623730951,29.289321881345252
2,500,C2,"MVBCF vs BCF, PEHE Y2",500,1000,-0.4018737308722664,-0.3346873702793434,0.06718636059292299,0.7622248879257569,0.7848394275153668,0.03408773327088302,0.024818801884511847,1.37346409506397,27.191398479665075,0.06681072952553846,0.048643957833078046,27.191398479665086,1.4142135623730951,29.289321881345252
2,500,C3,"MVBCF vs BART, PEHE Y1",500,1000,-1.4662981736262959,-1.4441555670420807,0.022142606584215185,1.2925744721453856,1.2587918957638888,0.05780568771395981,0.03980649490775149,1.4521672367265712,31.137407957628362,0.11329706602093072,0.07801929636996999,31.137407957628348,1.4142135623730951,29.289321881345252
2,500,C4,"MVBCF vs BART, PEHE Y2",500,1000,-1.2623827843972095,-1.1370265203452967,0.1253562640519128,1.5646672532645234,1.542428934565084,0.06997404680934707,0.0487758856217248,1.4346033068886115,30.29431932867808,0.13714661159884015,0.09559897913262567,30.294319328678064,1.4142135623730951,29.289321881345252
2,500,C5,"MVBCF vs MVBART, PEHE Y1",500,1000,-1.4635553449658336,-1.44524775050167,0.018307594464163524,1.1434261516535746,1.0979452782975387,0.051135572046967524,0.03472007825647661,1.4727954144927309,32.10190701575303,0.10022387954090947,0.0680501029231064,32.101907015753014,1.4142135623730951,29.289321881345252
2,500,C6,"MVBCF vs MVBART, PEHE Y2",500,1000,-1.1430427206527864,-1.0590295727192158,0.08401314793357062,1.361901408319946,1.3670650233615969,0.06090608255312194,0.04323039183373942,1.4088718600414678,29.021224118241197,0.11937372824354234,0.08473001103168372,29.021224118241207,1.4142135623730951,29.289321881345252
3,500,C1,"MVBCF vs BCF, PEHE Y1",500,1000,-0.38097586463698996,-0.3349318771968154,0.04604398744017457,1.3039646937565494,1.347771273915583,0.0583150739099868,0.04262026990519926,1.368247409969427,26.913802817112987,0.11429544461936549,0.08353419402556689,26.913802817112987,1.4142135623730951,29.289321881345252
3,500,C2,"MVBCF vs BCF, PEHE Y2",500,1000,-0.19663856713360028,-0.12282183158074181,0.07381673555285848,1.1282681517762319,1.1364229702293813,0.050457685684394085,0.03593684971258568,1.4040653559770147,28.778244136352683,0.09889524668465467,0.07043493115449652,28.778244136352683,1.4142135623730951,29.289321881345252
