reject_rate,t1e_or_power,ci_cover,E_theta,bias,rmse,E_J,sd_J,q05_J,q50_J,q95_J,P_J_eq_Jmax,pJmax,mean_wall,family,rho,sigma_a,sigma_b,theta,design,J0,Jmax,alpha,alpha_adj,delta,power_target,gamma,correction,K,seed,R,reject_rate_mcse,ci_cover_mcse,pJmax_mcse,module_cell,theta_mult,B,alpha_plan,alpha_note,cell_id,module,projected_R,bootstrap_B
1.0,1.0,0.0,-2.1995972520165914,-2.1995972520165914,2.202811836550613,472.8105,114.33460801415292,300.0,462.0,682.0,0.0,0.0,0.000445704460144043,empirical,0.3,1.0,1.0,0.0,D3,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400300,2000,0.0,0.0,0.0,B,0.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0300,B,2000,999
1.0,1.0,0.0,-2.2052921348823458,-2.2052921348823458,2.2105396430136315,327.2705,106.10164150356016,175.95,312.0,514.0,0.0,0.0,0.0003209841251373291,empirical,0.3,1.0,1.0,0.0,D4,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400301,2000,0.0,0.0,0.0,B,0.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0301,B,2000,999
1.0,1.0,0.0,-2.196977851388716,-2.696977851388716,2.6996506241983687,467.4635,112.93479830304742,305.0,454.0,669.0,0.0,0.0,0.0003585240840911865,empirical,0.3,1.0,1.0,0.5,D3,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400302,2000,0.0,0.0,0.0,B,1.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0302,B,2000,999
1.0,1.0,0.0,-2.2037660094984584,-2.7037660094984584,2.707690857727659,326.492,100.19040341270215,182.0,315.0,509.0,0.0,0.0,0.0004835381507873535,empirical,0.3,1.0,1.0,0.5,D4,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400303,2000,0.0,0.0,0.0,B,1.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0303,B,2000,999
0.0005,0.0005,0.99,0.0009241214006552956,0.0009241214006552956,0.11339234958052799,65.456,10.10039920003165,50.0,65.0,83.0,0.0,0.0,0.0003624074459075928,normal,0.6,1.0,1.0,0.0,D3,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400304,2000,0.0004998749843710925,0.0022248595461287,0.0,B,0.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0304,B,2000,999
0.015,0.015,0.985,-0.004406467254738404,-0.004406467254738404,0.13133871509661108,44.0005,8.24290602578969,31.0,43.0,58.0,0.0,0.0,0.00020142185688018797,normal,0.6,1.0,1.0,0.0,D4,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400305,2000,0.0027179955849853765,0.002717995584985378,0.0,B,0.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0305,B,2000,999
0.7645,0.7645,0.9895,0.5025821955879015,0.0025821955879015146,0.11291455986623482,65.799,10.212619595382959,50.0,65.0,84.0,0.0,0.0,0.00019034194946289062,normal,0.6,1.0,1.0,0.5,D3,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400306,2000,0.009487880427155478,0.0022792268425937726,0.0,B,1.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0306,B,2000,999
0.866,0.866,0.9865,0.49970572475262054,-0.00029427524737946076,0.13987955963563264,44.2125,8.073310581787375,32.0,44.0,59.0,0.0,0.0,0.00019139325618743895,normal,0.6,1.0,1.0,0.5,D4,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400307,2000,0.007617217339685143,0.0025804796065847873,0.0,B,1.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0307,B,2000,999
1.0,1.0,0.0,-2.198798967319038,-2.198798967319038,2.2022806591988218,470.5155,111.18073466095645,305.0,462.0,667.05,0.0,0.0,0.00019786643981933595,empirical,0.6,1.0,1.0,0.0,D3,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400308,2000,0.0,0.0,0.0,B,0.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0308,B,2000,999
1.0,1.0,0.0,-2.2043006595722208,-2.2043006595722208,2.20917166697105,333.624,106.42515503394861,178.95,322.0,527.0,0.0,0.0,0.00018609666824340821,empirical,0.6,1.0,1.0,0.0,D4,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400309,2000,0.0,0.0,0.0,B,0.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0309,B,2000,999
1.0,1.0,0.0,-2.2021262657304295,-2.7021262657304295,2.704794179955474,479.909,115.24487719200364,310.95,468.0,687.0,0.0,0.0,0.00019707465171813965,empirical,0.6,1.0,1.0,0.5,D3,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400310,2000,0.0,0.0,0.0,B,1.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0310,B,2000,999
1.0,1.0,0.0,-2.20297145737853,-2.70297145737853,2.7067669604957003,327.187,102.34963620355472,180.0,317.0,509.0,0.0,0.0,0.0001875460147857666,empirical,0.6,1.0,1.0,0.5,D4,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400311,2000,0.0,0.0,0.0,B,1.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0311,B,2000,999
0.0,0.0,1.0,0.0004134515877393945,0.0004134515877393945,0.05583516117480452,65.2665,11.094164130298415,50.0,64.0,86.0,0.0,0.0,0.00018379032611846923,normal,0.9,1.0,1.0,0.0,D3,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400312,2000,0.0,0.0,0.0,B,0.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0312,B,2000,999
0.019,0.019,0.981,-0.00011280036732302878,-0.00011280036732302878,0.12259723492502822,13.626,2.0433120172895767,10.0,14.0,17.0,0.0,0.0,0.00020764482021331788,normal,0.9,1.0,1.0,0.0,D4,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400313,2000,0.003052785613173647,0.0030527856131736483,0.0,B,0.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0313,B,2000,999
0.919,0.919,1.0,0.5004349128987785,0.0004349128987785056,0.053924909241336604,65.6395,11.437855557314927,50.0,64.0,86.0,0.0,0.0,0.00019585168361663818,normal,0.9,1.0,1.0,0.5,D3,50,1000,0.05,0.016666666666666666,0.5,0.8,0.2,holm,3,400314,2000,0.006100778638829636,0.0,0.0,B,1.0,999,0.016666666666666666,plan every contrast at alpha/K = 0.05000/3,B_0314,B,2000,999
