reject_rate,t1e_or_power,ci_cover,E_theta,bias,rmse,E_J,sd_J,q05_J,q50_J,q95_J,P_J_eq_Jmax,pJmax,mean_wall,family,rho,sigma_a,sigma_b,theta,design,J0,Jmax,alpha,alpha_adj,delta,power_target,gamma,correction,K,seed,R,reject_rate_mcse,ci_cover_mcse,pJmax_mcse,module_cell,theta_mult,B,sigma_ratio,cell_id,module,projected_R,bootstrap_B
0.8738,0.8738,0.9422,0.5001899315081367,0.00018993150813673143,0.16294073285424762,104.2322,18.053483961828533,77.0,103.0,136.0,0.0,0.0,0.00032221860885620117,normal,-0.3,1.0,1.0,0.5,D2,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100013,5000,0.004696244457010303,0.0033002775640845715,0.0,A,1.0,50,1.0,A_0013,A,5000,50
0.7834,0.7834,0.7912,0.4991630317554274,-0.0008369682445725779,0.19739480021246114,65.4642,9.313684467491907,51.0,65.0,82.0,0.0,0.0,0.00016658878326416017,normal,-0.3,1.0,1.0,0.5,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100014,5000,0.0058255375717610825,0.005748087682003468,0.0,A,1.0,50,1.0,A_0014,A,5000,50
0.857,0.857,0.955,0.4973172671375278,-0.0026827328624722258,0.16125093341555272,101.0648,20.113751538686163,71.0,99.0,136.0,0.0,0.0,0.00014920978546142577,normal,-0.3,1.0,1.0,0.5,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100015,5000,0.0049507777166825015,0.0029317230428538106,0.0,A,1.0,50,1.0,A_0015,A,5000,50
1.0,1.0,0.9518,0.5005951764440814,0.0005951764440813578,0.052523603678535,937.5152,97.69582677351167,722.0,1000.0,1000.0,0.0,0.552,7.778053283691407e-05,normal,-0.3,1.0,1.0,0.5,D5,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100016,5000,0.0,0.003029084350096577,0.0,A,1.0,50,1.0,A_0016,A,5000,50
0.8008,0.8008,0.9448,0.5003255656088857,0.00032556560888574726,0.1796045635971739,84.0,0.0,84.0,84.0,84.0,0.0,0.0,6.46308422088623e-05,normal,-0.3,1.0,1.0,0.5,D6,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100017,5000,0.005648351263864528,0.0032296427046966053,0.0,A,1.0,50,1.0,A_0017,A,5000,50
0.9992,0.9992,0.9496,0.9992150538030883,-0.0007849461969117177,0.1814263965474377,84.3188,16.58926057906138,59.0,83.0,114.0,0.0,0.0,0.0001390343189239502,normal,-0.3,1.0,1.0,1.0,D1,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100018,5000,0.0003998399679871993,0.0030938597253269257,0.0,A,2.0,50,1.0,A_0018,A,5000,50
1.0,1.0,0.9428,0.9954325809036143,-0.004567419096385694,0.16165169896605178,104.6098,18.333923310628307,77.0,104.0,136.0,0.0,0.0,0.0003090221881866455,normal,-0.3,1.0,1.0,1.0,D2,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100019,5000,0.0,0.0032841485959073176,0.0,A,2.0,50,1.0,A_0019,A,5000,50
0.9996,0.9996,0.7738,1.0025754736977048,0.002575473697704833,0.20017770511877292,65.4072,9.00891714691616,51.0,65.0,81.0,0.0,0.0,0.00014835553169250488,normal,-0.3,1.0,1.0,1.0,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100020,5000,0.0002827861382741226,0.0059166470234415704,0.0,A,2.0,50,1.0,A_0020,A,5000,50
0.9998,0.9998,0.9502,1.0033303059537713,0.003330305953771262,0.1622745504419178,101.612,20.021374977758146,71.0,100.0,137.0,0.0,0.0,0.00015147790908813475,normal,-0.3,1.0,1.0,1.0,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100021,5000,0.00019997999899988897,0.0030763601869742093,0.0,A,2.0,50,1.0,A_0021,A,5000,50
1.0,1.0,0.9528,0.9993815802831095,-0.0006184197168904726,0.05222523135251175,935.5468,100.86735155519847,713.0,1000.0,1000.0,0.0,0.5522,8.235712051391601e-05,normal,-0.3,1.0,1.0,1.0,D5,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100022,5000,0.0,0.002999071856424918,0.0,A,2.0,50,1.0,A_0022,A,5000,50
1.0,1.0,0.948,0.9970968350501913,-0.0029031649498086898,0.17686927893345297,84.0,0.0,84.0,84.0,84.0,0.0,0.0,7.501025199890136e-05,normal,-0.3,1.0,1.0,1.0,D6,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100023,5000,0.0,0.00313993630508646,0.0,A,2.0,50,1.0,A_0023,A,5000,50
