reject_rate,t1e_or_power,ci_cover,E_theta,bias,rmse,E_J,sd_J,q05_J,q50_J,q95_J,P_J_eq_Jmax,pJmax,mean_wall,family,rho,sigma_a,sigma_b,theta,design,J0,Jmax,alpha,alpha_adj,delta,power_target,gamma,correction,K,seed,R,reject_rate_mcse,ci_cover_mcse,pJmax_mcse,module_cell,theta_mult,B,alpha_plan,alpha_note,cell_id,module,projected_R,bootstrap_B
0.0845,0.0845,0.7755,-0.00039294648867439807,-0.00039294648867439807,0.2002076162139518,65.554,9.269362653386693,51.0,65.0,82.0,0.0,0.0,0.0006707515716552734,normal,-0.3,1.0,1.0,0.0,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,400000,2000,0.006219314672855845,0.00933005225065755,0.0,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B_0000,B,2000,999
0.0475,0.0475,0.9525,0.002703588195065254,0.002703588195065254,0.16375590387079633,101.0515,19.41542808567455,71.0,100.0,135.0,0.0,0.0,0.0008580021858215333,normal,-0.3,1.0,1.0,0.0,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,400001,2000,0.004756245893559331,0.00475624589355933,0.0,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B_0001,B,2000,999
0.7875,0.7875,0.7805,0.5004073737598295,0.0004073737598294658,0.20259380691712364,65.3725,9.214539801314007,50.0,65.0,82.0,0.0,0.0,0.0008427863121032715,normal,-0.3,1.0,1.0,0.5,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,400002,2000,0.009147233188237852,0.009255262016820486,0.0,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B_0002,B,2000,999
0.844,0.844,0.95,0.49472510292949845,-0.00527489707050155,0.16698164586081893,100.8845,20.14324104383403,70.0,100.0,136.0,0.0,0.0,0.00046559762954711913,normal,-0.3,1.0,1.0,0.5,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,400003,2000,0.00811369213120636,0.004873397172404485,0.0,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B_0003,B,2000,999
1.0,1.0,0.0,-2.2034181253609995,-2.2034181253609995,2.20671315955874,475.9585,112.72117714852875,306.0,467.0,683.05,0.0,0.0,0.0002210618257522583,empirical,-0.3,1.0,1.0,0.0,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,400004,2000,0.0,0.0,0.0,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B_0004,B,2000,999
1.0,1.0,0.0,-2.195444779011978,-2.195444779011978,2.2019211731341124,241.8255,75.14888588495508,132.95,232.0,374.0,0.0,0.0,0.00021049273014068603,empirical,-0.3,1.0,1.0,0.0,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,400005,2000,0.0,0.0,0.0,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B_0005,B,2000,999
1.0,1.0,0.0,-2.2003133393162018,-2.7003133393162018,2.7029991140588896,472.6765,113.18128311584915,301.0,464.0,673.0,0.0,0.0,0.00021505653858184816,empirical,-0.3,1.0,1.0,0.5,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,400006,2000,0.0,0.0,0.0,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B_0006,B,2000,999
1.0,1.0,0.0,-2.2026450257963996,-2.7026450257963996,2.7080383560879704,246.3615,79.56482776799055,136.0,237.0,388.0,0.0,0.0,0.00021008014678955078,empirical,-0.3,1.0,1.0,0.5,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,400007,2000,0.0,0.0,0.0,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B_0007,B,2000,999
0.048,0.048,0.8485,0.00045010241912579724,0.00045010241912579724,0.17324895978736865,65.4705,8.884431875477462,51.0,65.0,81.0,0.0,0.0,0.00020960617065429689,normal,0.0,1.0,1.0,0.0,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,400008,2000,0.0047799581588126895,0.008017098914195832,0.0,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B_0008,B,2000,999
0.0445,0.0445,0.9555,0.004657756228556808,0.004657756228556808,0.16078383570726995,78.147,15.22761934775098,55.0,77.0,105.0,0.0,0.0,0.00021079766750335693,normal,0.0,1.0,1.0,0.0,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,400009,2000,0.004610843198374892,0.004610843198374891,0.0,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B_0009,B,2000,999
