reject_rate,t1e_or_power,ci_cover,E_theta,bias,rmse,E_J,sd_J,q05_J,q50_J,q95_J,P_J_eq_Jmax,pJmax,mean_wall,family,rho,sigma_a,sigma_b,theta,design,J0,Jmax,alpha,alpha_adj,delta,power_target,gamma,correction,K,seed,R,reject_rate_mcse,ci_cover_mcse,pJmax_mcse
0.03875,0.03875,0.96125,0.00792922037057719,0.00792922037057719,0.15942923098719364,54.96375,10.589260405594906,39.0,55.0,73.0,0.0,0.0,0.00023289889097213745,normal,0.3,1.0,1.0,0.0,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,2,800,0.0068235289165504386,0.006823528916550434,0.0
0.04,0.04,0.96,-1.658103003056355e-05,-1.658103003056355e-05,0.04956865824092684,554.2025,111.84080871376959,380.95,551.0,745.0,0.0,0.0,0.0001079067587852478,normal,0.3,1.0,1.0,0.0,D5,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,2,800,0.006928203230275509,0.006928203230275512,0.0
0.05125,0.05125,0.94875,0.006821891602885444,0.006821891602885444,0.1742945736880313,46.0,0.0,46.0,46.0,46.0,0.0,0.0,0.0001018264889717102,normal,0.3,1.0,1.0,0.0,D6,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,2,800,0.007796107802936026,0.007796107802936028,0.0
