design,label,n_cells,type_I_mean,type_I_max,type_I_mcse,n_cells_over_level,ci_cover_mean,power_mean,power_min,n_cells_under_power,E_J_null,E_J_alt,sd_J_alt,q95_J_alt,P_J_at_cap,bias_alt,rmse_alt,scope
D1,"D1 fixed-J, independent pilot (raw pilot sigma)",144,0.04973333333333333,0.0736,0.0030744081996016367,5,0.9502666666666667,0.78205,0.6954,20,61.738783333333316,62.14785,42.02992086401215,152.5958333333334,0.0034000000000000002,0.00043054280836315757,0.19675129167103036,Module A (all families)
D2,D2 internal-pilot re-estimation (adaptive),144,0.05227777777777778,0.0592,0.0031478504325458366,5,0.9477222222222222,0.9257722222222221,0.8624,0,89.26966666666665,89.43558888888889,46.22809819648704,197.21111111111117,0.0056277777777777776,-2.388234763255546e-05,0.13617143562888184,Module A (all families)
D3,"D3 TISCA v1: unpaired Welch, iterative",144,0.03142222222222222,0.0882,0.002467179206009953,7,0.8965722222222223,0.8683833333333334,0.7612,4,80.70248888888891,80.93675,42.87248040698872,175.59722222222229,0.0035611111111111112,0.00045878560684595827,0.14526928704180422,Module A (all families)
D4,"D4 TISCA v2: paired, two-stage (Algorithm 1)",144,0.049405555555555564,0.0762,0.0030647886268322802,2,0.9505944444444445,0.8403722222222223,0.7286,4,73.3357111111111,73.28746666666667,47.09045992146493,180.6833333333334,0.0048222222222222225,0.001014802497930797,0.1813953959118489,Module A (all families)
D5,D5 paired fixed-precision (MCSE target),144,0.04851111111111111,0.0554,0.00303834768286569,0,0.9514888888888888,0.9958166666666668,0.8936,0,563.9729444444444,564.4236,126.46209946849922,740.7055555555556,0.17142222222222225,0.00011968275148875245,0.059534220821645153,Module A (all families)
D6,D6 oracle fixed-J (true sigma known),144,0.04953888888888888,0.071,0.0030687061565599014,3,0.9504611111111111,0.8171111111111112,0.7556,3,64.66666666666667,64.66666666666667,0.0,64.66666666666667,0.0,0.0006282513075736832,0.17118772153139822,Module A (all families)
