design,label,n_cells,type_I_mean,type_I_max,type_I_mcse,n_cells_over_level,ci_cover_mean,power_mean,power_min,n_cells_under_power,E_J_null,E_J_alt,sd_J_alt,q95_J_alt,P_J_at_cap,bias_alt,rmse_alt,scope
D1,"D1 fixed-J, independent pilot (raw pilot sigma)",120,0.0481,0.0574,0.0030260994696143084,2,0.9519000000000001,0.7848600000000001,0.6954,14,65.05622,65.56233333333334,48.234166738066044,170.18000000000004,0.004079999999999999,0.00027565188298821246,0.20086223447469406,parametric
D2,D2 internal-pilot re-estimation (adaptive),120,0.051626666666666675,0.0592,0.003129260422385953,3,0.9483733333333333,0.9252133333333333,0.8624,0,93.97169333333335,94.18561999999999,53.57865491171266,220.1183333333334,0.006753333333333333,-0.0012997818333626465,0.13579752080968263,parametric
D3,"D3 TISCA v1: unpaired Welch, iterative",120,0.03195333333333333,0.0882,0.002487260252656413,6,0.8953266666666668,0.8654533333333333,0.7612,4,83.63433333333334,83.93739333333333,48.781519341696075,192.55000000000007,0.004273333333333335,-0.0008911721112670966,0.1464882551281635,parametric
D4,"D4 TISCA v2: paired, two-stage (Algorithm 1)",120,0.047493333333333325,0.0544,0.0030079134502914878,0,0.9525066666666666,0.8430200000000002,0.7286,4,77.20981333333334,77.10686666666669,53.86553092602303,201.25166666666672,0.005786666666666667,0.0009653262142904599,0.1850346244195013,parametric
D5,D5 paired fixed-precision (MCSE target),120,0.04784666666666666,0.0554,0.0030185215969264012,0,0.9521533333333333,0.99498,0.8936,0,571.87572,572.1969333333333,128.95081840162047,749.2099999999999,0.18458666666666668,0.00010829134044377474,0.06108719065677215,parametric
D6,D6 oracle fixed-J (true sigma known),120,0.048080000000000005,0.0552,0.003025502060815692,0,0.9519200000000001,0.8237799999999997,0.7944,0,68.06666666666666,68.06666666666666,0.0,68.06666666666666,0.0,0.0006829951817721934,0.17118676055815696,parametric
D1,"D1 fixed-J, independent pilot (raw pilot sigma)",24,0.05790000000000001,0.0736,0.0033029559488433995,3,0.9421,0.7679999999999999,0.7406,6,45.1516,45.07543333333333,11.00869149374263,64.67500000000003,0.0,0.001204997435237883,0.17619657765271193,empirical
D2,D2 internal-pilot re-estimation (adaptive),24,0.055533333333333344,0.0588,0.0032388078739629565,2,0.9444666666666667,0.9285666666666667,0.8918,0,65.75953333333332,65.68543333333334,9.47531462035903,82.67500000000003,0.0,0.0063556150810179,0.13804100972487807,empirical
D3,"D3 TISCA v1: unpaired Welch, iterative",24,0.028766666666666666,0.0782,0.0023638589448423336,1,0.9028,0.8830333333333334,0.7968,0,66.04326666666667,65.93353333333333,13.327285733451957,90.83333333333333,0.0,0.007208574197411233,0.13917444661000775,empirical
D4,"D4 TISCA v2: paired, two-stage (Algorithm 1)",24,0.05896666666666667,0.0762,0.003331354045696401,2,0.9410333333333333,0.8271333333333333,0.8042,0,53.96519999999999,54.19046666666667,13.215104898674264,77.8416666666667,0.0,0.0012621839161324833,0.16319925337358665,empirical
D5,D5 paired fixed-precision (MCSE target),24,0.051833333333333335,0.0544,0.0031351758766898193,0,0.9481666666666667,1.0,1.0,0,524.4590666666667,525.5569333333334,114.01850480289279,698.1833333333334,0.10560000000000001,0.00017663980671364088,0.0517693716460102,empirical
D6,D6 oracle fixed-J (true sigma known),24,0.05773333333333333,0.071,0.0032984904291374125,3,0.9422666666666667,0.7773666666666669,0.7498,3,45.0,45.0,0.0,45.0,0.0,0.0005662500642611166,0.17294743239916308,empirical
